sample_id,iteration,seed,cleaned_cells,num_agents,min_moves,max_moves,size
0,0,67180624402821771013970967328191475488,86.10709117221418,1,1724,1724,60 * 60
0,1,28641964247761601792565189149416003250,80.87818696883852,1,1722,1722,60 * 60
0,2,289744065593514070915507577769718076600,83.42776203966005,1,1765,1765,60 * 60
0,3,116888684800723203808382575887108874597,78.2420749279539,1,1765,1765,60 * 60
0,4,40413398993082883926715970903630056025,79.2022792022792,1,1756,1756,60 * 60
0,5,232923215603026391767807690791265845679,86.6481223922114,1,1772,1772,60 * 60
0,6,173099542297925435173688383659525878127,79.76539589442815,1,1726,1726,60 * 60
0,7,317163046210249115044201362377479929046,82.82967032967034,1,1766,1766,60 * 60
0,8,266653558884657533200763045476261616346,88.78248974008208,1,1757,1757,60 * 60
0,9,97932424325604860277124452917713185540,84.63726884779517,1,1787,1787,60 * 60
1,0,243283543346024310489264663279793940236,39.04494382022472,6,1763,1783,60 * 60
1,1,87593948666453787815151409259954321611,30.041724617524338,6,1720,1759,60 * 60
1,2,288750170585262207946334610896169831170,40.59405940594059,6,1728,1786,60 * 60
1,3,154166166308823968592278066909010898493,30.99173553719008,6,1742,1778,60 * 60
1,4,162809721862036891588437022932687050099,37.249283667621775,6,1731,1769,60 * 60
1,5,95114230519405016030670349593110478250,36.50568181818182,6,1714,1781,60 * 60
1,6,286140099163806382042201040025493386261,38.64265927977839,6,1755,1781,60 * 60
1,7,239728512062474142332462110389823936720,38.525730180806676,6,1717,1773,60 * 60
1,8,193186743365801384280684350255746471614,38.26815642458101,6,1716,1779,60 * 60
1,9,325382055781826239571103676429609009193,50.76071922544951,6,1735,1766,60 * 60
2,0,6173329885981276343117712792257606598,40.294511378848725,11,1734,1781,60 * 60
2,1,18637902606368995661099887123888031184,33.93103448275862,11,1725,1785,60 * 60
2,2,65151832243722176209010941412289971375,21.750663129973475,11,1731,1780,60 * 60
2,3,175985360794405180073137638712615629535,30.886426592797783,11,1708,1795,60 * 60
2,4,269130658939686799775433143916029418696,21.8978102189781,11,1713,1777,60 * 60
2,5,48906643298166793763135061576928489624,30.529172320217096,11,1735,1794,60 * 60
2,6,310067605863928836401482952968345082905,21.733333333333334,11,1727,1774,60 * 60
2,7,288564000371511191961194649613046080353,30.539772727272727,11,1740,1784,60 * 60
2,8,209581703713965533980863427138706872490,31.375358166189113,11,1726,1780,60 * 60
2,9,61547618870263725855976038754291729715,32.664756446991404,11,1729,1783,60 * 60
3,0,281488903568834810217488641928429322697,25.0,16,1716,1800,60 * 60
3,1,337875344109340360192809004365628548569,15.877437325905293,16,1733,1782,60 * 60
3,2,259505378577844520696919044966040638912,15.672676837725382,16,1735,1787,60 * 60
3,3,332263421221341078785402705408489833872,18.92265193370166,16,1727,1782,60 * 60
3,4,280073676885301645456696438979346050037,16.666666666666668,16,1735,1779,60 * 60
3,5,290645369372254513935004869755352896068,22.50351617440225,16,1723,1786,60 * 60
3,6,57325287594814141465009491000472563857,27.285318559556785,16,1729,1771,60 * 60
3,7,188233683036472495913789881153563999909,17.097701149425287,16,1732,1784,60 * 60
3,8,213384573299220484219314982955413502727,29.76995940460081,16,1728,1789,60 * 60
3,9,16082107656865226350245162950626977799,17.119565217391305,16,1727,1785,60 * 60
4,0,324676674816646598000918362208893859292,23.735408560311285,20,1711,1792,60 * 60
4,1,4447969650789821128645420369505254152,10.962566844919786,20,1704,1784,60 * 60
4,2,226308589129887848578901685307326081821,14.550641940085592,20,1731,1777,60 * 60
4,3,72858611529454901749651378524034205327,26.8188302425107,20,1726,1784,60 * 60
4,4,336798141286956664863765299843637122624,11.050477489768076,20,1712,1791,60 * 60
4,5,22160412327155624395517148230809030393,13.204951856946355,20,1726,1788,60 * 60
4,6,338126213057811492964935863385648355475,16.119828815977176,20,1715,1788,60 * 60
4,7,180188121290198580786576036743015889079,13.762811127379209,20,1717,1804,60 * 60
4,8,198612822855694177001849506029240863984,13.268156424581006,20,1719,1790,60 * 60
4,9,185743105223817821067323392830095249353,15.469613259668508,20,1727,1781,60 * 60
