sample_id,iteration,seed,cleaned_cells,num_agents,min_max_movements,size
3,9,7195144365374015661077603991268014342,0.0,16,"[45, 55]",10 * 10
3,10,28627495797916016518163334581122440149,0.0,16,"[52, 68]",10 * 10
3,11,74774175382526998011065143455111777300,0.0,16,"[45, 59]",10 * 10
3,12,147915098500357188251080797233591793660,0.0,16,"[47, 56]",10 * 10
3,13,29697049930469453895082043608655329280,0.0,16,"[57, 67]",10 * 10
3,14,204753537865188248354646178342374540048,0.0,16,"[65, 77]",10 * 10
3,15,197966556428799403596911775353762838897,0.0,16,"[66, 77]",10 * 10
3,16,118040095342454504875816424202670299290,0.0,16,"[42, 51]",10 * 10
3,17,291308168397131928101477689127771690239,0.0,16,"[44, 56]",10 * 10
3,18,294891278182105583002406144261602308470,10.526315789473685,16,"[70, 90]",10 * 10
3,19,163423827378042244827931169823259355155,0.0,16,"[53, 67]",10 * 10
4,0,23110706071270546157316513580137784119,0.0,20,"[40, 53]",10 * 10
4,1,171612853853603403114254322071567601936,4.166666666666667,20,"[75, 88]",10 * 10
4,2,13175064158768308653853797669347590965,0.0,20,"[20, 35]",10 * 10
4,3,126292377665919639886063229519866917730,0.0,20,"[53, 63]",10 * 10
4,4,240907912878299587948743454434154381636,0.0,20,"[36, 47]",10 * 10
4,5,1501744598103352491740594259152083912,0.0,20,"[62, 73]",10 * 10
4,6,225362038841006426596453121509481238826,0.0,20,"[57, 75]",10 * 10
4,7,160970371039243067576425641805052312748,0.0,20,"[69, 85]",10 * 10
4,8,94629936990117273427142178749640236753,0.0,20,"[36, 48]",10 * 10
4,9,142446800275822201982662254675999048665,5.0,20,"[75, 91]",10 * 10
4,10,296296204195729138968483041284996002621,0.0,20,"[36, 44]",10 * 10
4,11,224352645228438939661156568461532333571,0.0,20,"[55, 77]",10 * 10
4,12,242933883164025683933243754029454127076,15.384615384615385,20,"[75, 91]",10 * 10
4,13,103659100662093079119312665411769013818,0.0,20,"[56, 72]",10 * 10
4,14,257412434458030334677557025301074630532,0.0,20,"[32, 43]",10 * 10
4,15,219325448947271971382117687460471440972,0.0,20,"[47, 58]",10 * 10
4,16,54516032269009086888254772403911455748,0.0,20,"[33, 42]",10 * 10
4,17,96343482485163401856014279130696761369,0.0,20,"[48, 63]",10 * 10
4,18,39710227380212269817857806497055510836,0.0,20,"[32, 42]",10 * 10
4,19,71372243344899652547649669133462463533,0.0,20,"[54, 70]",10 * 10
