sample_id,iteration,seed,cleaned_cells,num_agents,min_max_movements
0,0,238022181227019945346828136568619081048,74.07407407407408,1,"[81, 81]"
0,1,78286535840037861654447981545616541198,71.42857142857143,1,"[83, 83]"
0,2,19328067458022227650087868337687560779,78.94736842105263,1,"[75, 75]"
0,3,241228458702134856463714423666159274127,69.56521739130434,1,"[85, 85]"
0,4,155470868032867293698085486951317205582,58.333333333333336,1,"[85, 85]"
0,5,22079123011109909144487050101884920276,66.66666666666667,1,"[77, 77]"
0,6,231913398561718724088973856730697373104,57.89473684210526,1,"[80, 80]"
0,7,268275980704223519008552412156412727436,47.82608695652174,1,"[77, 77]"
0,8,271153477304418104685249974945152914433,70.0,1,"[82, 82]"
0,9,291049556189515662852137437829845375580,71.42857142857143,1,"[85, 85]"
1,0,43959973446841530301043817158753754282,15.0,6,"[78, 88]"
1,1,21841843340385369960064952243180027999,6.896551724137931,6,"[76, 90]"
1,2,224704314377570587233928627584582049098,15.384615384615385,6,"[79, 90]"
1,3,333069069249381866975271994749659762991,18.181818181818183,6,"[82, 87]"
1,4,285880844857364468306798924565340601697,5.555555555555555,6,"[78, 90]"
1,5,60778658199715033199400773559820499557,26.666666666666668,6,"[72, 87]"
1,6,22993904204812733138667786131174715165,0.0,6,"[55, 67]"
1,7,204999838250944637231071922113477583239,12.5,6,"[77, 83]"
1,8,217607173579811006990526146101177138210,20.833333333333332,6,"[82, 86]"
1,9,289680896576866187637319993653494121009,11.764705882352942,6,"[81, 90]"
2,0,72765773138593980639753185437520561193,5.555555555555555,11,"[72, 91]"
2,1,14365713717066429346055175901182724288,0.0,11,"[68, 77]"
2,2,220540355915582890953563446339758532811,0.0,11,"[66, 83]"
2,3,232769962066497298868489379875146997962,0.0,11,"[45, 56]"
2,4,297900911351817264193046937974239536612,0.0,11,"[53, 77]"
2,5,179690081436501389826865290525728688511,4.3478260869565215,11,"[72, 91]"
2,6,280595727783140580515492627864821625472,0.0,11,"[52, 61]"
2,7,172000523304012202914445640250297194071,8.695652173913043,11,"[75, 90]"
2,8,143023582280854378209370576513708501827,0.0,11,"[34, 51]"
2,9,316737900026612928464205998899791319580,0.0,11,"[45, 50]"
3,0,320239270280831806535806326866770890225,0.0,16,"[66, 77]"
3,1,48809747331131622389386588460445023930,0.0,16,"[52, 64]"
3,2,321964355924518502842333461061232539822,12.5,16,"[73, 91]"
3,3,132240862574848540273844803062724763795,0.0,16,"[42, 53]"
3,4,202257026404181900964253544812941957874,0.0,16,"[55, 69]"
3,5,269128669182867597179623781682833180076,0.0,16,"[63, 79]"
3,6,271698190198921372705491193582875709772,0.0,16,"[45, 54]"
3,7,140623589166553672196885847608845044159,0.0,16,"[68, 85]"
3,8,32932133025728081253603998365364260109,0.0,16,"[57, 70]"
3,9,136140310181940245005823902209805384175,0.0,16,"[57, 72]"
4,0,238951501756719214250110227180961122480,0.0,20,"[45, 56]"
4,1,223562570162392167739078422172630877006,0.0,20,"[62, 70]"
4,2,214320517402781496552214280840560494628,0.0,20,"[34, 47]"
4,3,329405739379707183815863294615099523152,0.0,20,"[68, 86]"
4,4,334258598432854353452670556184531786354,0.0,20,"[52, 67]"
4,5,46973139920580599353759616415636305782,0.0,20,"[46, 58]"
4,6,175335313032683897015616208734117254371,0.0,20,"[58, 78]"
4,7,64245145776421579781828176856322732075,0.0,20,"[56, 75]"
4,8,153718380193543665069393537853594387819,0.0,20,"[50, 65]"
4,9,87443355184253276982267189789368103987,0.0,20,"[28, 37]"
