sample_id,iteration,seed,cleaned_cells,num_agents,min_moves,max_moves,total_steps,size
0,0,313704968005338299069686580949864228085,1.1904761904761905,1,4316,4316,5000,20 * 20
0,1,318939740075582505523880669242450505482,0.0,1,3655,3655,4234,20 * 20
0,2,194501197952078805966827683299730204365,0.0,1,2567,2567,2951,20 * 20
0,3,256374395368319701555000205967930149264,1.1494252873563218,1,4354,4354,5000,20 * 20
0,4,51721713868015484442976413818420845341,4.0,1,4302,4302,5000,20 * 20
0,5,258165201812058105382200002930861639465,1.1904761904761905,1,4328,4328,5000,20 * 20
0,6,293460183514311832832403638426061263868,0.0,1,3668,3668,4251,20 * 20
0,7,273141543572566140781068278040092481167,0.0,1,4080,4080,4776,20 * 20
0,8,337251894533981582092745236484251107479,0.0,1,3096,3096,3603,20 * 20
0,9,316729077071869548155774269238687027644,0.0,1,3341,3341,3829,20 * 20
1,0,160063120935853616448337408819113654070,0.0,6,1733,1788,2049,20 * 20
1,1,169438396834705546206791867794025756459,0.0,6,689,726,826,20 * 20
1,2,312198587619525290869072206912368663445,0.0,6,739,777,885,20 * 20
1,3,97683661019210621748133127741240606010,0.0,6,767,799,906,20 * 20
1,4,309274279286363592759102018764249921708,0.0,6,497,538,605,20 * 20
1,5,331019247378688769762028008197390634792,0.0,6,458,479,537,20 * 20
1,6,208257701664707650270352809477491040391,0.0,6,1170,1218,1369,20 * 20
1,7,166575233429164839510829888575648898459,0.0,6,867,890,1019,20 * 20
1,8,43874125471872882204256301076816253690,0.0,6,795,829,938,20 * 20
1,9,54576978675677692266706971838881218474,0.0,6,606,634,719,20 * 20
2,0,58500331541140175069435654474093755930,0.0,11,429,452,509,20 * 20
2,1,241179222729415634729458632933330454924,0.0,11,822,872,981,20 * 20
2,2,178488183802152073607880687143857335115,0.0,11,521,544,612,20 * 20
2,3,123348848949687723271304235425554441681,0.0,11,356,383,428,20 * 20
2,4,160931723829944275284322852164075262494,0.0,11,297,318,354,20 * 20
2,5,289263604276309476088389604035514111771,0.0,11,517,544,612,20 * 20
2,6,300385597329275412991517449867928884361,0.0,11,233,250,282,20 * 20
2,7,340107795873773317191370232827979722022,0.0,11,506,530,606,20 * 20
2,8,182481154603573304447458231546966815436,0.0,11,627,654,730,20 * 20
2,9,107894989671644255739373737805539047747,0.0,11,515,535,607,20 * 20
3,0,28943477322309301847445055817099529774,0.0,16,368,397,446,20 * 20
3,1,324398143129675626709347672324668564444,0.0,16,263,287,324,20 * 20
3,2,244548317258332127851335915900954319200,0.0,16,318,339,384,20 * 20
3,3,53873106000683450731774781315542204059,0.0,16,362,395,443,20 * 20
3,4,248377563493782426563509009645228701016,0.0,16,398,431,475,20 * 20
3,5,120394878307118652199838983491049785575,0.0,16,274,304,336,20 * 20
3,6,70077870113076001396938578824341227867,0.0,16,203,223,251,20 * 20
3,7,90648978850537895587124517890481760682,0.0,16,332,357,397,20 * 20
3,8,91136776976348431995980745159446679180,0.0,16,584,612,685,20 * 20
3,9,20839445835258599850460738353372510960,0.0,16,226,261,284,20 * 20
4,0,224980596240160814793662504239368171450,0.0,20,301,339,377,20 * 20
4,1,34937491701803812144091031235313990403,0.0,20,217,242,265,20 * 20
4,2,260295709593455292528438128056733097483,0.0,20,341,382,421,20 * 20
4,3,31235880757072260596871574573587089019,0.0,20,380,432,483,20 * 20
4,4,172346272425892586262001778083755855728,0.0,20,298,325,361,20 * 20
4,5,18079825555202974982440141867097326114,0.0,20,349,378,423,20 * 20
4,6,157630227106883833266800397723251758725,0.0,20,358,400,450,20 * 20
4,7,103607805808946105688953626639192227118,0.0,20,311,339,375,20 * 20
4,8,18837721848564557585730613818671642861,0.0,20,342,369,413,20 * 20
4,9,318068800922196539384782892363480070852,0.0,20,467,513,566,20 * 20
