sample_id,iteration,seed,cleaned_cells,agents
0,0,271240232272450940956839497306769288189,72.22222222222223,"[77, 77]"
0,1,214317889979129060393952352229295782156,66.66666666666667,"[82, 82]"
0,2,239999281037442859011283365512432114723,66.66666666666667,"[77, 77]"
0,3,226154594289201010048352249234442690849,75.0,"[82, 82]"
0,4,67239648806975758206142420091785161955,66.66666666666667,"[82, 82]"
0,5,57456368262171085007971714239737628239,61.53846153846154,"[86, 86]"
0,6,202320066578054193927702080096975916034,81.25,"[78, 78]"
0,7,257576560562435150082862920609017868474,57.142857142857146,"[82, 82]"
0,8,104967476511890930915595173841191582891,66.66666666666667,"[87, 87]"
0,9,159777699375400170429632865055565107719,36.36363636363637,"[84, 84]"
1,0,255077203306004756058481647774117700763,25.0,"[79, 91]"
1,1,331422269618430070813161606940777504281,27.77777777777778,"[70, 93]"
1,2,202691183279608417316766534701321437342,5.0,"[81, 89]"
1,3,76527252938733659032070424390696779682,0.0,"[78, 83]"
1,4,337389453878737186850680150234361943252,4.761904761904762,"[76, 85]"
1,5,34943204375311383054246529304696294013,6.25,"[79, 89]"
1,6,160831661678007464137469759155465770508,4.3478260869565215,"[74, 87]"
1,7,95720288711063536368834108470044409068,26.31578947368421,"[76, 91]"
1,8,254008786219395890391606587161230462295,5.555555555555555,"[80, 85]"
1,9,67632760129843376619619236616455273327,7.6923076923076925,"[81, 87]"
2,0,324569607527079132362998059003492946807,6.25,"[72, 93]"
2,1,38359689071123681580786480867530629821,0.0,"[31, 38]"
2,2,160597542688961980439556598182362527947,0.0,"[47, 60]"
2,3,20038138444014626039733793325047743578,0.0,"[60, 71]"
2,4,118668679140715620544494988723453893188,0.0,"[58, 72]"
2,5,327345312076102108177579498161664665782,11.764705882352942,"[78, 92]"
2,6,295479907587646792641092598782323829635,0.0,"[50, 63]"
2,7,206744053050704759630475146371354590878,0.0,"[67, 75]"
2,8,202934318210519396881816387788445830161,0.0,"[75, 81]"
2,9,156663749220998796859337640882721902561,0.0,"[69, 80]"
3,0,149732943256883262000494250155194478817,0.0,"[34, 47]"
3,1,328682955861851490749319034953581397499,0.0,"[60, 72]"
3,2,218809187973722380061974547681125288914,11.11111111111111,"[71, 91]"
3,3,265689671404462546624746523478612014097,0.0,"[61, 75]"
3,4,30831596160170406521735977843395210973,0.0,"[51, 63]"
3,5,56527876395826189091766226602010575488,0.0,"[46, 59]"
3,6,35322392038712672666757670622122268494,4.166666666666667,"[77, 94]"
3,7,219460352805210862775738232831739301874,4.545454545454546,"[74, 91]"
3,8,254623756816777153920865208981318728792,0.0,"[66, 79]"
3,9,209263632335851201979450756701635092417,5.882352941176471,"[74, 90]"
4,0,320731408336352192563880689758924605920,0.0,"[42, 54]"
4,1,302454917723316391564153746856964948312,5.0,"[79, 91]"
4,2,269225353681993020336510512593072426074,0.0,"[31, 41]"
4,3,122944333988551659155390857158866246567,0.0,"[43, 59]"
4,4,202120935730416750499582866170755797164,0.0,"[68, 87]"
4,5,194233931329615115023244593668771105520,0.0,"[55, 71]"
4,6,132439261171493283495075288696278795001,0.0,"[45, 58]"
4,7,288570368452094347133733582211441978132,0.0,"[49, 62]"
4,8,191463696026275733954751633657191834402,4.761904761904762,"[73, 90]"
4,9,266080590939817972722982785799892896063,0.0,"[43, 52]"
