sample_id,iteration,seed,cleaned_cells,num_agents,min_moves,max_moves,total_steps,size
0,0,125681705474035536099184354428161698106,26.557377049180328,1,4401,4401,5000,40 * 40
0,1,198369491674350476871746977258384909599,41.25874125874126,1,4345,4345,5000,40 * 40
0,2,32484799994832128503611540582815592932,46.43962848297214,1,4367,4367,5000,40 * 40
0,3,32701118916631384246360513077936249551,20.0,1,4422,4422,5000,40 * 40
0,4,215814072886462811751187190896333323828,29.53216374269006,1,4320,4320,5000,40 * 40
0,5,237548203037534781541031216892285995902,31.563421828908556,1,4357,4357,5000,40 * 40
0,6,250488787601820639037601001178372194275,30.815709969788518,1,4343,4343,5000,40 * 40
0,7,78438817654997981734715594404681797864,29.153605015673982,1,4353,4353,5000,40 * 40
0,8,27062099572927997198282762957129827819,44.0251572327044,1,4388,4388,5000,40 * 40
0,9,321808104531337886673800985785448910415,30.097087378640776,1,4379,4379,5000,40 * 40
1,0,84807758961226445490542794269901048011,0.0,6,3245,3271,3714,40 * 40
1,1,114053056722506428805111032025361439927,0.0,6,4167,4237,4794,40 * 40
1,2,7442171575335805886838400655707244542,2.5,6,4346,4436,5000,40 * 40
1,3,298949938965557168483819757359054745011,0.0,6,3424,3476,3936,40 * 40
1,4,218190418275273483298770415920389507651,0.31746031746031744,6,4371,4408,5000,40 * 40
1,5,232418404444120985525593339476143860526,0.30864197530864196,6,4299,4388,5000,40 * 40
1,6,35277469400084125145050308798854052572,0.3401360544217687,6,4341,4429,5000,40 * 40
1,7,317032633138639115347042872242202468554,2.0408163265306123,6,4368,4455,5000,40 * 40
1,8,149212280069451819545880558243676030196,0.3194888178913738,6,4336,4416,5000,40 * 40
1,9,324456506421810383548315915872608347739,0.2994011976047904,6,4352,4430,5000,40 * 40
2,0,267754210521973123444764705654037494620,0.0,11,2439,2511,2850,40 * 40
2,1,252359266758281491566595668886407432005,0.0,11,2458,2508,2817,40 * 40
2,2,324658419742305357738311215626477766001,0.0,11,3173,3247,3655,40 * 40
2,3,179368384707870631194764836253793342114,0.0,11,2231,2312,2592,40 * 40
2,4,316842658083029207915271055527210187502,0.0,11,2543,2611,2958,40 * 40
2,5,62116952269289371845668879803240788264,0.0,11,2878,2920,3297,40 * 40
2,6,15430222093165465884291175791720279242,0.0,11,1753,1827,2031,40 * 40
2,7,17313051420929755643674776551759056646,0.0,11,2729,2784,3135,40 * 40
2,8,171345596450316027187172585576860332490,0.0,11,1982,2025,2277,40 * 40
2,9,3013291416727365492455132629985739807,0.0,11,2757,2800,3165,40 * 40
3,0,96460810896848477593951200680239746338,0.0,16,1630,1681,1892,40 * 40
3,1,322025924576320218357920532196841193094,0.0,16,2199,2269,2545,40 * 40
3,2,147550927110593529579380940477169808588,0.0,16,1694,1744,1958,40 * 40
3,3,61388695710705289932568899557047930266,0.0,16,1797,1858,2075,40 * 40
3,4,183249515835982429564815270094613839107,0.0,16,1391,1432,1610,40 * 40
3,5,11833227306261985169776470796738333056,0.0,16,1985,2041,2301,40 * 40
3,6,305891435482773251882804019724086179077,0.0,16,1811,1881,2116,40 * 40
3,7,338586379865894004308693356320345344218,0.0,16,1672,1750,1969,40 * 40
3,8,5251586657327271340004161277974153662,0.0,16,1579,1632,1838,40 * 40
3,9,298058910642507579826391001066980497708,0.0,16,3585,3647,4132,40 * 40
4,0,192075959475968161245841291981669973356,0.0,20,967,1013,1127,40 * 40
4,1,211301193021075338893247591616448635298,0.0,20,3401,3516,3952,40 * 40
4,2,282065835761655098772844827616592039952,0.0,20,2022,2082,2345,40 * 40
4,3,187615475971075359789047388881665149697,0.0,20,1443,1527,1715,40 * 40
4,4,18963094551704708310646786607739290716,0.0,20,1673,1750,1965,40 * 40
4,5,291483236612687047760777730981690741373,0.0,20,2242,2315,2588,40 * 40
4,6,338590834421595817163722708187842311948,0.0,20,1263,1311,1471,40 * 40
4,7,215327944744785373245007251092741621720,0.0,20,1578,1642,1832,40 * 40
4,8,52067915944339131916219598699817179791,0.0,20,1598,1658,1862,40 * 40
4,9,324001989060651577164819144010583747835,0.0,20,1238,1295,1444,40 * 40
