sample_id,iteration,seed,cleaned_cells,num_agents,min_max_movements,size
0,0,180704473255866525759983141222562895612,74.07407407407408,1,"[75, 75]",10 * 10
0,1,166094294777270375049735109818166051674,82.3529411764706,1,"[75, 75]",10 * 10
0,2,106429911571588085743048352974979683287,50.0,1,"[86, 86]",10 * 10
0,3,205460428889031111998942668993770327395,53.333333333333336,1,"[83, 83]",10 * 10
0,4,314002527870474103636728059913292274713,31.25,1,"[82, 82]",10 * 10
0,5,8848061970115058965306691016139469277,66.66666666666667,1,"[88, 88]",10 * 10
0,6,236962044961228950771216961546116027966,70.58823529411765,1,"[74, 74]",10 * 10
0,7,153467402265264030743760536708355586380,59.09090909090909,1,"[77, 77]",10 * 10
0,8,275083812469817335896260148781178968733,76.92307692307692,1,"[81, 81]",10 * 10
0,9,270400846848041160113036419255166551199,57.142857142857146,1,"[85, 85]",10 * 10
0,10,139051280869730962138205997608030446213,30.0,1,"[87, 87]",10 * 10
0,11,49053140289952244400937135456597467278,52.38095238095238,1,"[87, 87]",10 * 10
0,12,134952403369914284991937889235320565198,71.42857142857143,1,"[77, 77]",10 * 10
0,13,163461470386637471928150104247308332281,64.0,1,"[76, 76]",10 * 10
0,14,246002909156890833536780086878521735344,80.0,1,"[86, 86]",10 * 10
0,15,317753758472571369116321205881210334360,64.70588235294117,1,"[87, 87]",10 * 10
0,16,155865780546457805605353991635660466022,71.42857142857143,1,"[84, 84]",10 * 10
0,17,73815179817897564975060742151160749600,71.42857142857143,1,"[79, 79]",10 * 10
0,18,66194040575674749736943243124553128339,56.0,1,"[86, 86]",10 * 10
0,19,304122051451002318728750233297139307873,38.095238095238095,1,"[86, 86]",10 * 10
1,0,152801950339007977841228236948197101546,7.6923076923076925,6,"[83, 91]",10 * 10
1,1,316385956192780126920559964166974381924,29.41176470588235,6,"[73, 88]",10 * 10
1,2,263081440505576133326077557777563836720,5.0,6,"[80, 91]",10 * 10
