sample_id,iteration,seed,cleaned_cells,agents
0,0,124681012108699287048393972365483830054,81.48148148148148,[83]
0,1,27131626432209065201521964854802321558,61.904761904761905,[86]
0,2,143311318870810403192933205066679059169,43.75,[81]
0,3,197972155305357589693730069839933497440,70.0,[78]
0,4,300239716260556676035860697109516765236,68.42105263157895,[86]
0,5,108275349358813869631234046061962390627,60.0,[80]
0,6,99659921586911352612455926377373580165,69.23076923076923,[83]
0,7,304047908807718415834972699774090587685,56.25,[85]
0,8,175044081715150060348424627776403907399,93.33333333333333,[69]
0,9,121986326774311754744405222480385687774,56.52173913043478,[89]
1,0,4002729696179680699348876532764504920,4.761904761904762,"[76, 86, 88, 82, 80, 84]"
1,1,107985359197595427714074272550799457552,6.25,"[82, 84, 87, 88, 83, 83]"
1,2,99198605227353051621930749269935670433,5.882352941176471,"[86, 81, 78, 91, 85, 73]"
1,3,137585466826426730930577530966440547921,0.0,"[67, 68, 66, 64, 70, 72]"
1,4,219911333846204373087519512060738470426,9.090909090909092,"[80, 87, 80, 88, 79, 91]"
1,5,25013808423314824277633559422922032513,26.666666666666668,"[92, 84, 83, 86, 84, 79]"
1,6,215582422468993013776711233193099244368,10.0,"[79, 80, 84, 85, 83, 85]"
1,7,212270424870885349434483579954081920436,0.0,"[57, 54, 53, 51, 51, 59]"
1,8,187532673288463101553201013308291363573,20.0,"[81, 85, 89, 77, 75, 92]"
1,9,43364804313766433272342070076200314860,15.0,"[93, 76, 73, 82, 86, 83]"
2,0,119986641786572762882453137701309129371,5.0,"[89, 88, 87, 93, 87, 85, 87, 78, 83, 85, 82]"
2,1,246992977758829825964466487891116634642,25.0,"[78, 81, 86, 86, 84, 83, 88, 82, 79, 88, 75]"
2,2,324923224359620696679559425226535325182,6.896551724137931,"[86, 81, 81, 81, 85, 85, 84, 77, 90, 78, 87]"
2,3,145489035956822369831071951174490101195,0.0,"[38, 32, 33, 35, 35, 37, 32, 39, 38, 36, 37]"
2,4,277598782337417258381676663937230648186,0.0,"[58, 67, 67, 60, 61, 65, 64, 60, 65, 69, 62]"
2,5,298644205081914378473105752457690581718,0.0,"[58, 52, 51, 57, 58, 56, 58, 55, 51, 58, 57]"
2,6,285341754108768923662179758716665544388,5.0,"[82, 85, 79, 83, 88, 84, 72, 77, 84, 89, 75]"
2,7,177656497907454819891505754404142881041,16.666666666666668,"[79, 80, 86, 91, 92, 82, 93, 76, 87, 84, 86]"
2,8,252187883424748846514120807396578218552,13.333333333333334,"[83, 85, 81, 86, 84, 83, 74, 91, 87, 74, 80]"
2,9,55746526205681376922707757529619381936,0.0,"[69, 73, 68, 63, 64, 64, 64, 69, 66, 70, 66]"
3,0,40033641808293391443093606013890132684,0.0,"[52, 50, 50, 52, 50, 53, 54, 42, 50, 41, 51, 52, 47, 45, 52, 50]"
3,1,150094879177420767289719149825926074618,9.523809523809524,"[84, 90, 77, 88, 87, 85, 83, 81, 73, 83, 81, 81, 81, 75, 79, 81]"
3,2,1450327071107017812394193275611369550,0.0,"[25, 28, 28, 28, 29, 29, 26, 25, 31, 32, 28, 31, 33, 30, 32, 27]"
3,3,127502538232433028800495819167507744195,0.0,"[33, 32, 31, 28, 31, 35, 31, 31, 28, 30, 29, 28, 33, 34, 28, 35]"
3,4,106455606818539665011733438966941262419,0.0,"[62, 65, 60, 54, 60, 58, 59, 50, 60, 59, 57, 54, 63, 57, 59, 55]"
3,5,154673634662404781135466773254370419210,0.0,"[48, 37, 31, 43, 49, 44, 43, 41, 38, 41, 41, 43, 45, 41, 43, 48]"
3,6,24334446944602645718843997653227785535,0.0,"[74, 70, 81, 76, 69, 74, 73, 79, 77, 76, 70, 78, 75, 66, 71, 71]"
3,7,177969349141348121954397621171182387283,0.0,"[76, 78, 80, 76, 68, 72, 75, 74, 67, 69, 63, 81, 75, 69, 74, 78]"
3,8,260452229930159059023627929108335119024,0.0,"[69, 55, 68, 67, 68, 74, 65, 66, 64, 59, 53, 62, 66, 56, 69, 67]"
3,9,25835704763596980978680240297719578197,5.555555555555555,"[89, 86, 83, 83, 81, 84, 82, 81, 82, 83, 80, 81, 81, 89, 82, 87]"
4,0,333433151958583439652337059468283050115,0.0,"[27, 40, 28, 35, 26, 33, 34, 33, 31, 31, 31, 35, 35, 35, 32, 31, 34, 33, 32, 37]"
4,1,80664514256038169351421574471751266951,0.0,"[32, 38, 40, 30, 38, 39, 32, 37, 39, 41, 41, 37, 40, 36, 34, 36, 34, 38, 41, 41]"
4,2,205964190945543347785632319220112979076,0.0,"[60, 58, 57, 62, 54, 64, 61, 62, 60, 63, 61, 60, 58, 55, 59, 59, 63, 62, 58, 64]"
4,3,6640744562608613068992097898386160210,0.0,"[43, 46, 46, 47, 46, 47, 46, 43, 49, 39, 47, 47, 47, 48, 48, 44, 46, 40, 49, 49]"
4,4,276171691658772861803847202735985678837,0.0,"[42, 41, 47, 43, 45, 45, 43, 42, 47, 38, 40, 45, 39, 50, 47, 50, 43, 43, 42, 45]"
4,5,258699410370883865755515739088579471931,0.0,"[81, 77, 76, 81, 77, 81, 78, 81, 85, 76, 84, 84, 85, 81, 86, 85, 81, 84, 83, 74]"
4,6,199687373995350692741556147753431037873,0.0,"[72, 64, 65, 73, 71, 58, 58, 72, 73, 66, 71, 66, 67, 68, 69, 70, 62, 73, 59, 68]"
4,7,55745667155093306808289062783547298817,0.0,"[45, 39, 46, 44, 48, 42, 47, 45, 48, 47, 41, 43, 48, 42, 38, 45, 45, 45, 47, 43]"
4,8,28572712495252119484132829104182231252,0.0,"[40, 40, 42, 40, 39, 39, 42, 36, 33, 37, 40, 36, 38, 41, 40, 44, 40, 40, 33, 39]"
4,9,126473979697411748336090205863362207928,0.0,"[36, 31, 33, 36, 38, 35, 34, 30, 31, 34, 35, 35, 37, 40, 34, 33, 40, 30, 36, 37]"
