sample_id,iteration,seed,cleaned_cells,num_agents,min_max_movements,size
0,0,10866543111342184043643856063962370784,12.162162162162161,1,"[1722, 1722]",20 * 20
0,1,157869516801562502984265259622799808243,7.246376811594203,1,"[1729, 1729]",20 * 20
0,2,235761999510112903041733107032916102036,9.195402298850574,1,"[1747, 1747]",20 * 20
0,3,191901123825422633929314686000125983185,20.930232558139537,1,"[1734, 1734]",20 * 20
0,4,171529643480729431614490954122808459378,12.195121951219512,1,"[1723, 1723]",20 * 20
0,5,339214885511800040353368560242837434048,7.594936708860759,1,"[1704, 1704]",20 * 20
0,6,285020169394348643388883192179204082983,9.75609756097561,1,"[1738, 1738]",20 * 20
0,7,22836197782540408365570314221046388625,17.46031746031746,1,"[1730, 1730]",20 * 20
0,8,196139787404193754884283541172371684153,18.055555555555557,1,"[1716, 1716]",20 * 20
0,9,113640993935180835619542114619981259378,5.405405405405405,1,"[1728, 1728]",20 * 20
1,0,81562377298007129480176095855823880750,0.0,6,"[757, 775]",20 * 20
1,1,259362366110363755857067599560238908084,0.0,6,"[1098, 1137]",20 * 20
1,2,214462032202280402130315198245506637533,0.0,6,"[739, 769]",20 * 20
1,3,250254542558234566550273907443898073967,0.0,6,"[859, 918]",20 * 20
1,4,111977011185757163137766984536107980411,0.0,6,"[1383, 1416]",20 * 20
1,5,159568709658447709903717484211513835779,0.0,6,"[1152, 1195]",20 * 20
1,6,101170515046766568340832286757951451697,0.0,6,"[447, 460]",20 * 20
1,7,337173584053668952040244448901820078851,0.0,6,"[635, 649]",20 * 20
1,8,85714727730333028601926497156464681908,0.0,6,"[623, 639]",20 * 20
1,9,27521540883970260475737459229223329095,0.0,6,"[940, 966]",20 * 20
2,0,136925370069657946741306087777942662824,0.0,11,"[601, 633]",20 * 20
2,1,331133523337380660854974203654356429139,0.0,11,"[412, 438]",20 * 20
2,2,142076954847481218397564857404210802095,0.0,11,"[385, 408]",20 * 20
2,3,325381516418854025972351068075320791258,0.0,11,"[464, 496]",20 * 20
2,4,206521145838824694010965006340203275226,0.0,11,"[542, 574]",20 * 20
2,5,21830423284122554893950288539716732447,0.0,11,"[521, 550]",20 * 20
2,6,179190580660716176107539107226815028397,0.0,11,"[691, 743]",20 * 20
2,7,198362148819751892169837696842009138758,0.0,11,"[520, 540]",20 * 20
2,8,135156071249641851731703436664503457256,0.0,11,"[285, 312]",20 * 20
2,9,38684414885245983381743651440351819707,0.0,11,"[581, 612]",20 * 20
3,0,148299350686837579469988186800983807297,0.0,16,"[351, 374]",20 * 20
3,1,217124005977777632351848999020647129717,0.0,16,"[466, 493]",20 * 20
3,2,144459434755667334691787941445713209765,0.0,16,"[347, 371]",20 * 20
3,3,291633515261819645303802874990809158434,0.0,16,"[385, 425]",20 * 20
3,4,10620397608682105059961736282978925122,0.0,16,"[829, 865]",20 * 20
3,5,70059202897595911431101943226143675913,0.0,16,"[441, 472]",20 * 20
3,6,129013520023444427251247229565085509691,0.0,16,"[303, 339]",20 * 20
3,7,139196329725568124229648340213045972240,0.0,16,"[356, 394]",20 * 20
3,8,228322424082469078754568916511476332257,0.0,16,"[315, 345]",20 * 20
3,9,276308321207177640745673177998963472933,0.0,16,"[222, 245]",20 * 20
4,0,254787816105712640320826367220164036806,0.0,20,"[329, 365]",20 * 20
4,1,256459408752483503397071204946939727340,0.0,20,"[300, 320]",20 * 20
4,2,183210789919272870256020844832628398872,0.0,20,"[314, 338]",20 * 20
4,3,221893661429581439620599884549651591480,0.0,20,"[349, 386]",20 * 20
4,4,115830483102432776950491185106066789068,0.0,20,"[322, 361]",20 * 20
4,5,179635034623315019193402771664408455221,0.0,20,"[368, 403]",20 * 20
4,6,169136375388757180780947323093573804721,0.0,20,"[241, 270]",20 * 20
4,7,42866120390934294832575432596930980579,0.0,20,"[318, 352]",20 * 20
4,8,177390963454389849376563094726477885107,0.0,20,"[434, 463]",20 * 20
4,9,66077803962464090425369929769943140949,0.0,20,"[276, 303]",20 * 20
