sample_id,iteration,seed,cleaned_cells,num_agents,min_max_movements,size
0,0,318033688720361925423976484099284655592,63.63636363636363,1,"[85, 85]",10 * 10
0,1,208238759866554216563140716312110919071,40.90909090909091,1,"[88, 88]",10 * 10
0,2,18901577734202183077879758190323121638,57.142857142857146,1,"[82, 82]",10 * 10
0,3,255272705003736500942390314983207694742,55.55555555555556,1,"[87, 87]",10 * 10
0,4,246143422582740712915759683767132682664,78.26086956521739,1,"[76, 76]",10 * 10
0,5,250570152476250322442412000371371126868,83.33333333333333,1,"[80, 80]",10 * 10
0,6,276882758067445622683833549345862781860,52.94117647058823,1,"[90, 90]",10 * 10
0,7,67463094209840443287250199751880272140,84.21052631578948,1,"[83, 83]",10 * 10
0,8,246971887922820671551520515224174983996,55.0,1,"[74, 74]",10 * 10
0,9,301127556951597237472708669472052957911,56.25,1,"[86, 86]",10 * 10
0,10,11189015560482027701337672098259563448,68.0,1,"[84, 84]",10 * 10
0,11,42121758787215887805129906943545992261,73.6842105263158,1,"[80, 80]",10 * 10
0,12,98998282611176517298511120197080559186,50.0,1,"[86, 86]",10 * 10
0,13,296540932089035219508393323321833562719,60.0,1,"[78, 78]",10 * 10
0,14,210108805994642604031450028941603739583,42.10526315789474,1,"[88, 88]",10 * 10
0,15,73939442985512786465275601168613482230,55.0,1,"[84, 84]",10 * 10
0,16,80739845962120123621201074397753100236,66.66666666666667,1,"[82, 82]",10 * 10
0,17,52803610662627316108672649957534694730,39.130434782608695,1,"[87, 87]",10 * 10
0,18,53962890527680275664450270793727538602,73.33333333333333,1,"[85, 85]",10 * 10
0,19,59833376020662160825035630096219978349,80.95238095238095,1,"[86, 86]",10 * 10
1,0,253613875206352713521553573278549915814,0.0,6,"[74, 80]",10 * 10
1,1,42424627236382809758500715469419372712,17.647058823529413,6,"[80, 91]",10 * 10
1,2,10274310471529311460323670666687780988,9.523809523809524,6,"[80, 87]",10 * 10
1,3,208253717012735872265575990960669171062,11.538461538461538,6,"[76, 90]",10 * 10
1,4,297165053050221723859503249445547796731,5.882352941176471,6,"[78, 91]",10 * 10
1,5,185931611815611122556838500440050275542,61.111111111111114,6,"[75, 85]",10 * 10
1,6,252430642797883163651039696962035872867,5.882352941176471,6,"[72, 89]",10 * 10
1,7,91540468576167266032334313087268781991,4.3478260869565215,6,"[77, 87]",10 * 10
1,8,53427346405207538731365981167463122028,47.36842105263158,6,"[81, 86]",10 * 10
1,9,180833582632929259043052642201210711303,8.333333333333334,6,"[79, 84]",10 * 10
1,10,226072427351885626191929504662321231910,0.0,6,"[61, 68]",10 * 10
1,11,326661541299572316756020849594445157847,11.764705882352942,6,"[76, 87]",10 * 10
1,12,225302699070743218334410927233466386367,34.61538461538461,6,"[77, 85]",10 * 10
1,13,103184965001046651362220195738764214823,10.0,6,"[74, 86]",10 * 10
1,14,144060600987251219400843971345787396278,30.0,6,"[72, 88]",10 * 10
1,15,201284187981165058294479732330408171560,0.0,6,"[75, 85]",10 * 10
1,16,49782041542591438530046893540703204926,8.0,6,"[76, 89]",10 * 10
1,17,158719739637502928667831667744182500107,29.41176470588235,6,"[79, 89]",10 * 10
1,18,95717316328107918846021092867365103012,35.294117647058826,6,"[81, 88]",10 * 10
1,19,43151643654789919841553374058283929238,27.272727272727273,6,"[78, 89]",10 * 10
2,0,254823289130495450322984510494834253142,0.0,11,"[60, 77]",10 * 10
2,1,236282607923373218312551445505499802672,0.0,11,"[70, 83]",10 * 10
2,2,24131718145418236385023629976440026428,0.0,11,"[56, 71]",10 * 10
2,3,273716731586573969817998706044825014970,0.0,11,"[70, 80]",10 * 10
2,4,126586150198260514412732834200183420416,5.555555555555555,11,"[77, 89]",10 * 10
2,5,252624987917753747310172027627434810405,16.666666666666668,11,"[77, 86]",10 * 10
2,6,324604377807833762931909574789198222216,8.333333333333334,11,"[73, 89]",10 * 10
2,7,127226644613017685258693816457090401670,14.285714285714286,11,"[74, 94]",10 * 10
2,8,155656654540351968300418985910702105908,17.647058823529413,11,"[73, 91]",10 * 10
2,9,256604603553375171083957020656710941806,4.166666666666667,11,"[80, 92]",10 * 10
2,10,74619279411711813553091306963983242132,7.6923076923076925,11,"[67, 93]",10 * 10
2,11,146340399570211122786952633492661225390,0.0,11,"[65, 74]",10 * 10
2,12,144316920628572345902278906175791749070,0.0,11,"[57, 67]",10 * 10
2,13,30306059287145725514042022020637211714,0.0,11,"[58, 68]",10 * 10
2,14,85293022789713554001840672575681309333,5.882352941176471,11,"[76, 92]",10 * 10
2,15,25522990635735466353245433800356154570,0.0,11,"[62, 78]",10 * 10
2,16,38102110272696438120948821373227456229,0.0,11,"[75, 88]",10 * 10
2,17,21479142332374917227930813994161991571,5.0,11,"[76, 89]",10 * 10
2,18,188560856229476528111622490550259378505,5.882352941176471,11,"[76, 89]",10 * 10
2,19,121971302332974211369139359232277432600,0.0,11,"[73, 85]",10 * 10
3,0,73550646344813997317071004908442419074,4.166666666666667,16,"[74, 92]",10 * 10
3,1,245725017488854210261723216355007893627,4.0,16,"[76, 93]",10 * 10
3,2,277147645316789088908080419632251978601,4.761904761904762,16,"[74, 90]",10 * 10
3,3,124913627070327411093622894293619379983,0.0,16,"[39, 52]",10 * 10
3,4,299243291005150769405849135934837163799,6.666666666666667,16,"[71, 88]",10 * 10
3,5,9471285222239908139708060042724819323,0.0,16,"[31, 49]",10 * 10
