sample_id,iteration,seed,cleaned_cells,num_agents,min_moves,max_moves,total_steps,size
0,0,157050949772297758541211672457389000555,4.938271604938271,1,4327,4327,5000,20 * 20
0,1,35016169519168647926024052204051199669,0.0,1,2561,2561,2953,20 * 20
0,2,74670821373733292435467846250376662268,0.0,1,3636,3636,4194,20 * 20
0,3,9607795355629532452015219077805768059,6.944444444444445,1,4284,4284,5000,20 * 20
0,4,7070159070967022169983394155794137523,0.0,1,4260,4260,4927,20 * 20
0,5,117240563063104789906117417104696347408,0.0,1,3013,3013,3490,20 * 20
0,6,36566068917979662620940220497889403331,0.0,1,3269,3269,3812,20 * 20
0,7,138649059730292743174521659433885046183,0.0,1,4102,4102,4764,20 * 20
0,8,27171407593003754517868594362020905335,1.3157894736842106,1,4342,4342,5000,20 * 20
0,9,52295597220008787483095294791904239659,4.395604395604396,1,4312,4312,5000,20 * 20
1,0,73191469282477367490239375994730619578,0.0,13,450,472,529,20 * 20
1,1,99132201177995062062654940905045960228,0.0,13,589,642,727,20 * 20
1,2,9970053943902837451355663705192032176,0.0,13,547,580,655,20 * 20
1,3,114898366685571243443921865399660768263,0.0,13,231,256,282,20 * 20
1,4,64525743527328235088181619912831126048,0.0,13,395,410,466,20 * 20
1,5,305966714798025057660195491165048030261,0.0,13,247,273,306,20 * 20
1,6,281137933331433236955160294783228408587,0.0,13,1134,1164,1326,20 * 20
1,7,124945687735870923708539662744615634982,0.0,13,454,481,539,20 * 20
1,8,41157090347984675497510943899638940598,0.0,13,297,316,358,20 * 20
1,9,233780424160519002703154729698751034552,0.0,13,326,348,381,20 * 20
2,0,44568814926942557058628130125824236671,0.0,26,232,257,287,20 * 20
2,1,140612987666098893864455484810187218984,0.0,26,444,481,536,20 * 20
2,2,21631437544596518903661902359836687076,0.0,26,214,243,264,20 * 20
2,3,324336110550716913028472422422399387008,0.0,26,206,236,261,20 * 20
2,4,2313215156627517502081105632901486987,0.0,26,243,269,296,20 * 20
2,5,134626032423987420797883616930355438126,0.0,26,288,322,358,20 * 20
2,6,187038054915909551367794400538233006913,0.0,26,225,257,282,20 * 20
2,7,70696173924687413369229595190115137533,0.0,26,251,280,311,20 * 20
2,8,129787943891175862818020223260690214214,0.0,26,345,375,418,20 * 20
2,9,270973225398828981144345933402776424117,0.0,26,324,346,385,20 * 20
3,0,265269252757619593028756973202212329341,0.0,38,203,225,250,20 * 20
3,1,23969898385097198979590127750323154206,0.0,38,201,231,253,20 * 20
3,2,154481049564285407712604670409314781227,0.0,38,232,260,289,20 * 20
3,3,132314070445242822401470445865570218658,0.0,38,200,228,250,20 * 20
3,4,61056563264889883715562714003920719254,0.0,38,194,222,246,20 * 20
3,5,303253888867112546429143321843611797060,0.0,38,160,183,198,20 * 20
3,6,212795543967375771172264997000381122083,0.0,38,233,266,291,20 * 20
3,7,57117112233456154196328952210902731282,0.0,38,237,277,304,20 * 20
3,8,35436553458249426821560560807464814219,0.0,38,233,262,286,20 * 20
3,9,51229480636379165247375899485622700824,0.0,38,403,438,484,20 * 20
4,0,146274703819349212088806929514996485403,0.0,50,191,222,240,20 * 20
4,1,333065145827545212538321974706569480391,0.0,50,205,231,255,20 * 20
4,2,102096524456805076961809475152428559824,0.0,50,264,294,324,20 * 20
4,3,134946610691209230475935208024716177228,0.0,50,163,190,209,20 * 20
4,4,220894049593548023059569635387542329316,0.0,50,156,182,197,20 * 20
4,5,92031090773321238167733253801216309150,0.0,50,171,198,215,20 * 20
4,6,100339453767560829663876772261707859838,0.0,50,216,241,267,20 * 20
4,7,49387737351641866500670142858788790733,0.0,50,205,237,261,20 * 20
4,8,72109609458639434656666474572555109724,0.0,50,111,134,143,20 * 20
4,9,45392799587615666523751738810829410910,0.0,50,218,245,272,20 * 20
