sample_id,iteration,seed,cleaned_cells,num_agents,min_max_movements
0,0,164057781056653128053228197885466266826,43.47826086956522,1,"[81, 81]"
0,1,328649176102096556983940572673763354901,60.869565217391305,1,"[82, 82]"
0,2,246184953499823511015214790709066027860,43.75,1,"[85, 85]"
0,3,246467593663029574336153267257556529793,61.111111111111114,1,"[78, 78]"
0,4,190749580868781896899359017511976950204,50.0,1,"[79, 79]"
0,5,13637164867540302611656099795457759656,41.1764705882353,1,"[77, 77]"
0,6,132944495754923731372329147671710790683,50.0,1,"[83, 83]"
0,7,319026259824289796461722282784180901222,65.0,1,"[84, 84]"
0,8,192574640614063617441565639629403638129,47.05882352941177,1,"[88, 88]"
0,9,37880793563654114436650572697621860288,58.62068965517241,1,"[85, 85]"
1,0,134782825193340316106967009284973089201,0.0,6,"[75, 87]"
1,1,167479909878281015643252765023662275615,4.166666666666667,6,"[78, 91]"
1,2,238482648281291997840188716586402439636,8.0,6,"[81, 87]"
1,3,47594442862325093973691597105965917440,16.666666666666668,6,"[80, 88]"
1,4,29081626169406951836835384274390966608,33.333333333333336,6,"[76, 91]"
1,5,173906102909477797407208637586175915440,18.75,6,"[83, 88]"
1,6,97635156854233633636075233006411616706,9.090909090909092,6,"[83, 89]"
1,7,190032318537247418455534725952430571151,11.11111111111111,6,"[76, 84]"
1,8,219807996647597021512060550184268711443,5.882352941176471,6,"[73, 90]"
1,9,3428726078923273149358458071118426538,5.2631578947368425,6,"[79, 89]"
2,0,224482840917643255430057493610234970286,11.764705882352942,11,"[68, 89]"
2,1,114997534405766348150184085798915584738,0.0,11,"[63, 80]"
2,2,258027927173168501161234182549967897072,0.0,11,"[74, 88]"
2,3,57271012838807142958250117677023454933,0.0,11,"[55, 64]"
2,4,245469873669989904123860990048355030209,6.666666666666667,11,"[73, 89]"
2,5,63631356874458900418822584666856303367,0.0,11,"[47, 62]"
2,6,23402195659719343790510026174977029826,0.0,11,"[65, 71]"
2,7,13068650605741451675293601706017555340,0.0,11,"[48, 59]"
2,8,175041678811598421815575220419731094196,0.0,11,"[48, 57]"
2,9,240316742965799211207048866257572107353,10.526315789473685,11,"[78, 89]"
3,0,326168264085783540188533717145263195380,0.0,16,"[37, 46]"
3,1,44822100127574129587749526655125527455,0.0,16,"[29, 39]"
3,2,147375341860448105025533107251652157912,0.0,16,"[58, 73]"
3,3,291509160597292905325215921038509273246,0.0,16,"[33, 41]"
3,4,129700099692208815667949903250806657258,0.0,16,"[35, 52]"
3,5,128758767006662924641026818364331049169,0.0,16,"[25, 40]"
3,6,81662971573397690137584231777261202751,6.25,16,"[77, 89]"
3,7,94992535159898546021621923305189456375,0.0,16,"[49, 65]"
3,8,30655889080911436372361792482468193698,0.0,16,"[22, 36]"
3,9,179596319680605388421990620837574969085,0.0,16,"[78, 89]"
4,0,107110697315966599620157326961773758872,0.0,20,"[49, 65]"
4,1,275616978361587517392210298381471563084,0.0,20,"[58, 67]"
4,2,167541381152219496937067125669416474624,0.0,20,"[36, 50]"
4,3,125007423588539880419717617953402881868,0.0,20,"[31, 40]"
4,4,110018949525378733820227364880964386904,0.0,20,"[62, 74]"
4,5,164214047855027645234357761870370217605,0.0,20,"[41, 55]"
4,6,295362799706781696738026950873061864625,0.0,20,"[39, 49]"
4,7,33823813845884685645240796671275861329,0.0,20,"[50, 60]"
4,8,260751302419380120494102404727607646391,0.0,20,"[61, 74]"
4,9,87986403371800643962024763771230199236,0.0,20,"[49, 65]"
