sample_id,iteration,seed,cleaned_cells,agents
0,0,230292943423764235409009004784203128887,60.0,[84]
0,1,142007849703287472132249765043087378529,58.333333333333336,[92]
0,2,142926383658860221122185853158466500695,47.61904761904762,[88]
0,3,70442686704739062671561760045352300698,83.33333333333333,[73]
0,4,304635330326019489169058483519919673328,44.0,[80]
0,5,313438521248912701638890815723051543241,43.47826086956522,[83]
0,6,286337468775091569355121425897802617965,65.21739130434783,[84]
0,7,137177833506365280574180467654722071996,60.0,[84]
0,8,283603613801797390923932686370473345051,68.42105263157895,[76]
0,9,326907185314196413693869317582846372354,63.333333333333336,[83]
0,10,224091974979660081050955480316218926576,52.63157894736842,[77]
0,11,326299489309901719432052786045617132003,52.38095238095238,[82]
0,12,313526994691686463951285041046445080225,69.56521739130434,[81]
0,13,4037731665791201021454210510136008850,50.0,[91]
0,14,329890336830956539817874478007071744610,52.38095238095238,[86]
0,15,277419193974447299611953455446024424030,35.714285714285715,[83]
0,16,58846928635331525925344561185135177738,66.66666666666667,[84]
0,17,139426641250828884775352756938260432002,62.5,[84]
0,18,237437884710896570271544186149848032404,60.60606060606061,[85]
0,19,155380843304110684277529807641932080436,72.22222222222223,[80]
0,20,105610247984349577002307315577921696228,58.8235294117647,[76]
0,21,256612318863571265667174280602503569135,79.16666666666667,[90]
0,22,159020863944322034441544143528212815273,62.5,[89]
0,23,290958337680684504641759796304183173863,52.38095238095238,[81]
0,24,198855285191306664988771455067513129726,66.66666666666667,[81]
0,25,288068007999645509318062368976609564600,54.54545454545455,[78]
0,26,262357417588478984809740542178511559325,56.0,[80]
0,27,186602041997431095080487722218796253356,87.5,[80]
0,28,113561585201699563853796083617251596533,41.1764705882353,[83]
0,29,78438362375482273883745468752174322514,68.75,[83]
1,0,4005889815945863492802155358369305575,10.526315789473685,"[81, 87, 81, 84, 83, 76]"
1,1,194529850707435991788374015068820426485,8.695652173913043,"[88, 79, 84, 82, 81, 85]"
1,2,276441336931680062204706539411044809918,0.0,"[53, 56, 55, 60, 49, 49]"
1,3,219552036988915890954590824525487101347,0.0,"[68, 59, 67, 64, 67, 61]"
1,4,193224738908382824672221937291734425628,5.555555555555555,"[87, 75, 81, 79, 77, 84]"
1,5,215255131377679525106603336656437898028,15.789473684210526,"[86, 85, 86, 94, 82, 76]"
1,6,79861868432878131808129868092139027497,5.2631578947368425,"[81, 84, 86, 82, 87, 81]"
1,7,209317427561978319812539962391261072302,5.882352941176471,"[87, 78, 80, 78, 77, 83]"
1,8,190466701937063395874932869349655959725,12.5,"[80, 83, 82, 92, 89, 88]"
1,9,334959894052110266179481483923851868564,7.142857142857143,"[82, 89, 78, 81, 82, 84]"
1,10,125751237032062848527889866265573760082,9.523809523809524,"[77, 78, 86, 92, 83, 90]"
1,11,112835244319860951913413659142486720613,10.526315789473685,"[82, 86, 84, 80, 84, 82]"
1,12,138009375568632859357723472857996594250,11.764705882352942,"[87, 83, 84, 75, 88, 88]"
1,13,282810267099926309734094071583249763602,0.0,"[87, 81, 81, 83, 77, 87]"
1,14,133831074586100655785640655429506799755,0.0,"[80, 82, 72, 80, 80, 82]"
1,15,231626848115965520463971467408531805314,12.0,"[83, 83, 82, 78, 85, 76]"
1,16,289499040370631136129970485224862555534,0.0,"[50, 49, 56, 48, 56, 51]"
1,17,264475973461373482656543312037155769712,9.523809523809524,"[86, 84, 84, 84, 82, 89]"
1,18,180206394289831116965374850378133361147,0.0,"[80, 72, 67, 72, 64, 73]"
1,19,30595283244283127777880230646247896062,10.526315789473685,"[81, 79, 78, 84, 78, 80]"
1,20,298605857857119314943585626030718789409,0.0,"[71, 78, 75, 79, 78, 74]"
1,21,194026677731112790228157882106111595073,3.7037037037037037,"[78, 80, 86, 87, 85, 81]"
1,22,110008122259723317400597617307301731325,13.636363636363637,"[87, 86, 80, 86, 89, 85]"
1,23,315568310667867811221737976496982365849,11.11111111111111,"[79, 76, 80, 80, 88, 83]"
1,24,243905259457893547990072576173874718613,15.0,"[71, 77, 83, 84, 82, 93]"
1,25,150358843498974693126950278214818709558,0.0,"[75, 84, 79, 79, 89, 84]"
1,26,280659909602587252140623196693247672651,6.666666666666667,"[80, 84, 84, 84, 89, 79]"
1,27,97575940080332173199979067303669780751,6.666666666666667,"[78, 81, 84, 80, 81, 86]"
1,28,58573561184003322050155794747940089700,0.0,"[78, 79, 68, 73, 75, 81]"
1,29,204175987762052751316007379033393974116,5.555555555555555,"[75, 86, 81, 81, 91, 86]"
2,0,246751419983146175469448247417319273321,0.0,"[82, 77, 79, 72, 81, 82, 74, 84, 78, 80, 90]"
2,1,77940329867917324270090435795411159322,0.0,"[46, 54, 51, 45, 49, 51, 47, 49, 38, 46, 55]"
2,2,149367615693675579451652803229065915096,0.0,"[58, 55, 53, 61, 56, 57, 61, 55, 52, 52, 55]"
2,3,226082691493079348761328009833682565886,4.545454545454546,"[86, 82, 81, 85, 87, 85, 85, 87, 71, 86, 76]"
2,4,69328722992430541107347224589244685780,0.0,"[77, 74, 81, 81, 69, 76, 81, 78, 80, 78, 71]"
2,5,283639288506498503367690842436274839960,4.761904761904762,"[75, 90, 83, 79, 72, 81, 85, 92, 87, 85, 87]"
2,6,138201542053095313464471900072581676723,10.0,"[88, 82, 71, 82, 81, 84, 85, 77, 74, 83, 83]"
2,7,288545961500974445096801173139245977538,0.0,"[67, 65, 71, 65, 62, 65, 59, 66, 63, 67, 70]"
2,8,210315058720719887075389445194844682199,4.761904761904762,"[90, 80, 84, 82, 93, 74, 88, 83, 77, 85, 81]"
2,9,224765276267678508112117758250493981446,0.0,"[63, 63, 71, 67, 65, 69, 58, 67, 61, 68, 54]"
2,10,32316182795832587659551939806378250869,12.5,"[79, 82, 78, 87, 83, 85, 82, 88, 82, 83, 87]"
2,11,25806423244121454244897863088396902759,0.0,"[50, 48, 43, 50, 52, 52, 44, 41, 52, 53, 54]"
2,12,140163732969644119869733565452080569556,12.5,"[91, 81, 76, 83, 83, 88, 86, 78, 87, 82, 83]"
2,13,60999534416323509522431499908896983226,0.0,"[65, 61, 53, 62, 57, 68, 62, 62, 66, 57, 68]"
2,14,338419001498013539927240273512056376033,18.181818181818183,"[90, 87, 81, 83, 80, 85, 82, 74, 87, 76, 81]"
2,15,44483774376226731921027804919790448,0.0,"[80, 69, 80, 76, 66, 66, 81, 80, 77, 80, 69]"
2,16,31748000819043188667012609653386794769,5.882352941176471,"[84, 92, 81, 81, 92, 84, 78, 88, 80, 79, 84]"
2,17,140896492996986543729032667697243598178,14.285714285714286,"[86, 88, 79, 83, 76, 89, 90, 82, 90, 86, 83]"
2,18,277835336656252537391668816118443392182,0.0,"[43, 46, 49, 47, 45, 50, 46, 46, 47, 42, 47]"
2,19,263636983476681604319497858742678682915,14.285714285714286,"[82, 85, 77, 82, 86, 83, 85, 79, 84, 87, 79]"
2,20,55825695898751313826811388067212020911,0.0,"[62, 59, 59, 54, 60, 62, 67, 60, 64, 67, 57]"
2,21,227801521405363229156205648360080911529,0.0,"[56, 52, 55, 59, 58, 64, 60, 62, 55, 60, 61]"
2,22,187213851024467896989763364296883093599,0.0,"[78, 84, 84, 77, 78, 70, 77, 74, 81, 79, 83]"
2,23,179486397682157779598116106576627428504,3.8461538461538463,"[81, 79, 80, 76, 86, 82, 88, 76, 84, 81, 86]"
2,24,125042509854837441816476399957627988260,0.0,"[60, 62, 63, 60, 64, 59, 65, 63, 63, 66, 64]"
2,25,237972434282073791128635668535474133964,0.0,"[88, 80, 86, 85, 80, 78, 84, 80, 87, 81, 86]"
2,26,106185755655465686469626823264209807864,0.0,"[46, 45, 44, 45, 36, 40, 45, 47, 45, 43, 45]"
2,27,42846278656758221643509306596835065978,0.0,"[57, 59, 61, 61, 58, 62, 61, 57, 69, 62, 66]"
2,28,225223084147119520860410684165449902736,0.0,"[81, 82, 81, 79, 86, 79, 87, 86, 85, 87, 88]"
2,29,26226378009815549607402857051699220646,0.0,"[35, 38, 37, 37, 34, 39, 37, 37, 32, 37, 40]"
3,0,66406982731490541525197623020442197403,0.0,"[42, 41, 41, 48, 47, 51, 50, 47, 41, 43, 38, 43, 44, 45, 50, 41]"
3,1,67774032295994095714715333965877540734,0.0,"[74, 69, 72, 78, 69, 74, 70, 73, 68, 72, 81, 70, 77, 79, 70, 72]"
3,2,202660312547619094412898037742759978515,0.0,"[35, 42, 39, 42, 39, 43, 38, 32, 38, 29, 33, 43, 26, 40, 39, 34]"
3,3,150297052267180852648921035411679717967,0.0,"[52, 52, 59, 53, 61, 59, 58, 57, 54, 59, 55, 55, 42, 55, 54, 62]"
3,4,11788585393557732698886284517509339280,0.0,"[71, 66, 60, 72, 71, 68, 58, 59, 66, 65, 65, 68, 71, 66, 65, 65]"
