sample_id,iteration,seed,cleaned_cells,num_agents,min_max_movements,size
0,0,24996601388118019892316483395363224209,77.27272727272727,1,"[80, 80]",10 * 10
0,1,245249194626821188872715128546303579837,71.42857142857143,1,"[74, 74]",10 * 10
0,2,168504001266655745060596928657182251454,44.0,1,"[87, 87]",10 * 10
0,3,226541332276538795382283837437494382967,56.52173913043478,1,"[90, 90]",10 * 10
0,4,113518353411601724634583184546160072988,53.57142857142857,1,"[82, 82]",10 * 10
0,5,138090871627411431353437437613885922774,60.869565217391305,1,"[80, 80]",10 * 10
0,6,227774844464577329821038885153130954832,56.666666666666664,1,"[86, 86]",10 * 10
0,7,319815764774102807350473676551554378039,50.0,1,"[78, 78]",10 * 10
0,8,18661801363923503431444006552152595589,70.58823529411765,1,"[88, 88]",10 * 10
0,9,87869848501068650007733981895192712729,51.851851851851855,1,"[90, 90]",10 * 10
0,10,256515936886274357043665759882769609382,52.94117647058823,1,"[86, 86]",10 * 10
0,11,95212101299071809265083226978881579953,65.0,1,"[87, 87]",10 * 10
0,12,167712292212973103690080913060247246519,64.28571428571429,1,"[83, 83]",10 * 10
0,13,323260791629367117142475531822963093321,53.84615384615385,1,"[85, 85]",10 * 10
0,14,329932610996765049171240607335772601278,56.25,1,"[83, 83]",10 * 10
0,15,113719170313249727042479180514720021349,73.6842105263158,1,"[81, 81]",10 * 10
0,16,131546163346755969620922862436862988671,51.724137931034484,1,"[82, 82]",10 * 10
0,17,68375204589903809293543107991809424198,69.56521739130434,1,"[86, 86]",10 * 10
0,18,147453752946362938730486189559060082971,66.66666666666667,1,"[87, 87]",10 * 10
0,19,275891207823428660213984731032070009815,61.111111111111114,1,"[77, 77]",10 * 10
1,0,117392662628726155293245530039272904659,6.666666666666667,6,"[78, 89]",10 * 10
1,1,289816811544538338920504312151175086863,24.0,6,"[79, 86]",10 * 10
1,2,320156861428816639545354365289114868880,10.714285714285714,6,"[81, 91]",10 * 10
1,3,205808434754400115042047288071924982501,5.882352941176471,6,"[83, 90]",10 * 10
1,4,12022771009296348143813607046486385558,5.2631578947368425,6,"[77, 89]",10 * 10
1,5,1965906061263801507763024312907980301,5.555555555555555,6,"[74, 89]",10 * 10
1,6,50140217580149533147865631560324123953,30.0,6,"[73, 88]",10 * 10
1,7,146883228695988997206656225080684072747,0.0,6,"[75, 86]",10 * 10
1,8,302371888575352843540044547078742900905,26.666666666666668,6,"[81, 90]",10 * 10
1,9,139198736965089954153188546740263241162,30.0,6,"[80, 92]",10 * 10
1,10,28267985371626182620388053531500033345,31.818181818181817,6,"[69, 86]",10 * 10
1,11,339408945040019297669177928368746478651,31.57894736842105,6,"[75, 91]",10 * 10
1,12,286590428665104323754718039070215827823,29.62962962962963,6,"[80, 87]",10 * 10
1,13,62730542396864566264302242720600594696,0.0,6,"[63, 74]",10 * 10
1,14,337628214666631784263227586359725392852,10.0,6,"[77, 90]",10 * 10
1,15,299206577717710447050922197934845854060,16.666666666666668,6,"[78, 85]",10 * 10
1,16,195933318469995887645628448005644934483,9.090909090909092,6,"[71, 89]",10 * 10
1,17,101669163397198666011591601321763452038,11.538461538461538,6,"[79, 88]",10 * 10
1,18,194951293249632418048195062818130772875,12.5,6,"[76, 85]",10 * 10
1,19,184794243077365518707773877325353581976,5.0,6,"[73, 88]",10 * 10
2,0,150439297223954038628370529041620181522,7.6923076923076925,11,"[79, 89]",10 * 10
2,1,85376653697881557904651918389588516623,0.0,11,"[52, 70]",10 * 10
2,2,8639770010493797261935684212061882154,0.0,11,"[42, 53]",10 * 10
2,3,294573022339210455518540681841660318019,0.0,11,"[41, 54]",10 * 10
2,4,280183470685953127122566628854629572501,10.526315789473685,11,"[73, 88]",10 * 10
2,5,97670948880037341371157264381715738780,5.882352941176471,11,"[70, 91]",10 * 10
2,6,22067317715976937344039468255650537417,0.0,11,"[59, 72]",10 * 10
2,7,38102057079103150927952902754929165601,0.0,11,"[70, 79]",10 * 10
2,8,198588613599200405493581438263508017360,7.142857142857143,11,"[76, 88]",10 * 10
2,9,53121271482538751070428449254702975953,5.555555555555555,11,"[73, 85]",10 * 10
2,10,256697807132738423281303115121088095571,10.0,11,"[69, 87]",10 * 10
2,11,259942907258049929895473567974951922349,10.526315789473685,11,"[74, 92]",10 * 10
2,12,136106327448679156758867313136327758377,0.0,11,"[59, 75]",10 * 10
2,13,6790142968590531138661792667234546164,0.0,11,"[67, 78]",10 * 10
