sample_id,iteration,seed,cleaned_cells,num_agents,min_max_movements,size
0,0,18939520793467341397453204199220813112,56.25,1,"[83, 83]",10 * 10
0,1,87798075470499801083652597267336389710,72.0,1,"[81, 81]",10 * 10
0,2,163161277046626385470714858188470785368,62.5,1,"[84, 84]",10 * 10
0,3,240919255055234961088765042177962715486,50.0,1,"[92, 92]",10 * 10
0,4,117421712191201650470019754547073486369,65.0,1,"[81, 81]",10 * 10
0,5,164193047350692730302133162525638079992,57.142857142857146,1,"[88, 88]",10 * 10
0,6,307688134554812229908904664793028693023,76.47058823529412,1,"[85, 85]",10 * 10
0,7,204383102071889058252003919697176440995,48.275862068965516,1,"[85, 85]",10 * 10
0,8,45051957370675140725210309798540686976,56.52173913043478,1,"[79, 79]",10 * 10
0,9,256823923956591013100123405153253678246,68.42105263157895,1,"[82, 82]",10 * 10
1,0,120581321320927163826320317946022040766,4.3478260869565215,6,"[81, 85]",10 * 10
1,1,339334834404551396908019629997076220441,10.714285714285714,6,"[80, 90]",10 * 10
1,2,317314660331731042865419601452811911070,0.0,6,"[69, 83]",10 * 10
1,3,100864850301158970105051000886535002730,13.333333333333334,6,"[78, 88]",10 * 10
1,4,328963577899224737998332269957092379181,18.75,6,"[76, 87]",10 * 10
1,5,150954129634253660530935457973798429895,4.545454545454546,6,"[80, 89]",10 * 10
1,6,61702685630022485813550801787822000136,5.0,6,"[75, 88]",10 * 10
1,7,3909755071270945573288998382349749988,5.882352941176471,6,"[80, 88]",10 * 10
1,8,114442718755577835124067321250326156084,23.529411764705884,6,"[76, 87]",10 * 10
1,9,71008871358183908375264869970702978756,10.714285714285714,6,"[79, 89]",10 * 10
2,0,17789990082434943004145374329911675702,6.666666666666667,11,"[80, 87]",10 * 10
2,1,271117731546425177672116046312376709163,6.896551724137931,11,"[74, 90]",10 * 10
2,2,216604377916202741137591603356225305818,0.0,11,"[49, 64]",10 * 10
2,3,337050917020058012460861806513540333722,0.0,11,"[69, 81]",10 * 10
2,4,326665815345400787994406532474023049918,4.166666666666667,11,"[69, 88]",10 * 10
2,5,173632662278180922404762391163779631706,4.545454545454546,11,"[76, 90]",10 * 10
2,6,170912604502875429117354611092945573686,5.555555555555555,11,"[78, 90]",10 * 10
2,7,25301649761936111012985414431908061292,0.0,11,"[64, 76]",10 * 10
2,8,338140907516660814883576383939182829921,0.0,11,"[59, 71]",10 * 10
2,9,248798608539422082364148136402437388068,10.526315789473685,11,"[72, 93]",10 * 10
3,0,200668956421161079446681504222683338320,0.0,16,"[44, 64]",10 * 10
3,1,160046142313606003492866013057421205363,0.0,16,"[53, 69]",10 * 10
3,2,208315738454486161380036855010821017785,0.0,16,"[63, 73]",10 * 10
3,3,4309209316300079532575885517050554068,0.0,16,"[32, 44]",10 * 10
3,4,224196452110322073909464815590080651332,0.0,16,"[64, 83]",10 * 10
3,5,56179535243604763978012995803311191628,0.0,16,"[35, 48]",10 * 10
3,6,128750639470103391679505405645862228599,0.0,16,"[61, 74]",10 * 10
3,7,40743884176082603913901208538132909660,0.0,16,"[48, 59]",10 * 10
3,8,239985799231811398895961076693520730417,0.0,16,"[51, 62]",10 * 10
3,9,139950485403229779170459665068292694786,0.0,16,"[49, 68]",10 * 10
4,0,198330852387529757577545226034134475910,0.0,20,"[39, 52]",10 * 10
4,1,166334969615345727487201755895864332532,0.0,20,"[51, 73]",10 * 10
4,2,284128584691534139505524228665090471719,0.0,20,"[36, 49]",10 * 10
4,3,305403258371508472715548155773853389463,0.0,20,"[32, 41]",10 * 10
4,4,86721511862212054650878124018537361617,0.0,20,"[54, 66]",10 * 10
4,5,149210224793796096039665400998088177897,0.0,20,"[69, 83]",10 * 10
4,6,126925875480884361026109240943656655891,0.0,20,"[33, 40]",10 * 10
4,7,300634478810582950537217698430410183332,14.285714285714286,20,"[78, 91]",10 * 10
4,8,154251827972297274660095004733587228695,0.0,20,"[32, 46]",10 * 10
4,9,117147252614734645698221644074301660240,0.0,20,"[72, 84]",10 * 10
