sample_id,iteration,seed,cleaned_cells,num_agents,min_max_movements
0,0,175492435417455680835134535602520101430,78.26086956521739,1,"[87, 87]"
0,1,90894877759267369609053380558357695785,55.0,1,"[79, 79]"
0,2,212565990897243650670419494406557648809,56.25,1,"[89, 89]"
0,3,5973779886395009699093284210873385861,55.55555555555556,1,"[87, 87]"
0,4,68927795586656257491576420893221577399,66.66666666666667,1,"[87, 87]"
0,5,230805535268445164972207015607656683696,45.45454545454545,1,"[85, 85]"
0,6,238335486095903397612435617316357475508,43.47826086956522,1,"[80, 80]"
0,7,187954585700559534806766749070204717973,82.3529411764706,1,"[84, 84]"
0,8,218464226902636867635182326141069975547,64.28571428571429,1,"[87, 87]"
0,9,337988935336765006129771137584911112790,63.1578947368421,1,"[92, 92]"
1,0,174670708911855158288487466889684896193,12.5,6,"[78, 85]"
1,1,108365372058260699587023160081398943668,10.526315789473685,6,"[76, 92]"
1,2,198040168779369731258891599097948853616,0.0,6,"[78, 84]"
1,3,291961435962898061242861677107824500110,14.285714285714286,6,"[75, 93]"
1,4,131669487254309735704079644049267606196,14.285714285714286,6,"[79, 85]"
1,5,23554414748547609556371487191742292472,53.333333333333336,6,"[68, 85]"
1,6,169651835622735640630685173587172993626,25.0,6,"[80, 91]"
1,7,248513161263720844675134753529277129655,5.0,6,"[78, 91]"
1,8,278403057453226551785548026965759143211,0.0,6,"[61, 69]"
1,9,162249679756807479869123240165794588603,6.666666666666667,6,"[73, 84]"
2,0,3353971215984611143419323200755971288,0.0,11,"[67, 80]"
2,1,63394961358622990885707904556981336538,0.0,11,"[43, 53]"
2,2,149740036124213412701798138827718546462,0.0,11,"[61, 71]"
2,3,135029728788029031171235347941242162293,0.0,11,"[70, 80]"
2,4,239799312252074073215631711493308555918,0.0,11,"[63, 76]"
2,5,307749764574350057739971668276662150719,6.0606060606060606,11,"[72, 95]"
2,6,227716615226743003471540051661641343343,0.0,11,"[66, 80]"
2,7,243678273579265001390270607060529810607,4.3478260869565215,11,"[79, 89]"
2,8,4020512094147146780005097810585717535,0.0,11,"[57, 73]"
2,9,243110045822054099973343550912145690428,6.896551724137931,11,"[78, 89]"
3,0,126956728261494263118727694154271590038,0.0,16,"[52, 64]"
3,1,144607320474109281024305920525235704218,0.0,16,"[35, 48]"
3,2,85321234454660854672613745599726907273,0.0,16,"[52, 63]"
3,3,178510970139717788576424948303017927352,14.285714285714286,16,"[73, 92]"
3,4,69265783399719817698434457169028216066,0.0,16,"[63, 75]"
3,5,329633455735993095434602576065826344748,0.0,16,"[39, 50]"
3,6,234361936632599298428057006101749947097,5.882352941176471,16,"[78, 89]"
3,7,124092380011371026131755697651391339509,0.0,16,"[28, 40]"
3,8,280478985965353869034708412217768690793,0.0,16,"[35, 42]"
3,9,177935365970982659249359620841649919888,0.0,16,"[61, 74]"
4,0,15462274402311687580032428110176475197,0.0,20,"[47, 61]"
4,1,309837650911292675683604138932726380618,0.0,20,"[36, 49]"
4,2,129387336568873035565021571695292479511,0.0,20,"[34, 43]"
4,3,284739371583867705181318178656389139500,0.0,20,"[44, 60]"
4,4,44012602734756291665153839438135474806,0.0,20,"[66, 85]"
4,5,284448665811731406883456223677083628678,0.0,20,"[35, 50]"
4,6,16023739537380586239573294519709855503,0.0,20,"[46, 57]"
4,7,175415689595945298084998930248826366644,0.0,20,"[56, 73]"
4,8,263247136118154989808008132018105804053,5.2631578947368425,20,"[63, 92]"
4,9,12853913480043409669270951783247323112,0.0,20,"[60, 69]"
