sample_id,iteration,seed,cleaned_cells,num_agents,min_moves,max_moves,total_steps,size
0,0,121248337196327493924005731216983397137,66.71214188267395,1,4409,4409,5000,60 * 60
0,1,97289966500557589114599264767649660498,66.35006784260516,1,4386,4386,5000,60 * 60
0,2,220962016135219843357540349847968954380,55.082417582417584,1,4420,4420,5000,60 * 60
0,3,8385733928060223389973958839799154773,71.46702557200538,1,4352,4352,5000,60 * 60
0,4,22230898139449147287156688111784563235,57.880434782608695,1,4392,4392,5000,60 * 60
0,5,245180620723413578751178062553038461995,69.05405405405405,1,4382,4382,5000,60 * 60
0,6,222104934367852261182592875898005426707,64.7239263803681,1,4403,4403,5000,60 * 60
0,7,16959498763568370445354519223612695313,57.94392523364486,1,4377,4377,5000,60 * 60
0,8,241640298058772203422055095031475099117,63.35149863760218,1,4417,4417,5000,60 * 60
0,9,317443216730356072239961709636936240941,59.814323607427056,1,4371,4371,5000,60 * 60
1,0,205819982118685664882872915213275973033,0.6729475100942126,13,4344,4434,5000,60 * 60
1,1,44161668353099334161052974353121163255,0.27932960893854747,13,4338,4461,5000,60 * 60
1,2,197521820739862338129154394272637044925,0.2717391304347826,13,4342,4444,5000,60 * 60
1,3,226269786781301906846842331541004935890,1.4905149051490514,13,4343,4432,5000,60 * 60
1,4,192086644738560933529740295158273569591,0.4231311706629055,13,4342,4435,5000,60 * 60
1,5,295428527629595227643024591026859464688,2.370990237099024,13,4340,4421,5000,60 * 60
1,6,117890505662364787933143612467398858350,0.0,13,3328,3413,3839,60 * 60
1,7,294178425640271459479367628052846137607,5.670816044260028,13,4335,4424,5000,60 * 60
1,8,76973257276939514955441566766527883688,3.8135593220338984,13,4347,4440,5000,60 * 60
1,9,95692954554832524634072951441987480500,0.1524390243902439,13,4358,4429,5000,60 * 60
2,0,291043495398777641778441125687525068629,0.0,26,3938,4012,4519,60 * 60
2,1,277169230936837266709507204589559369553,0.0,26,3568,3659,4112,60 * 60
2,2,71216209276107494417010638221876144101,0.0,26,3598,3695,4145,60 * 60
2,3,312449049744681980845688629563244863317,0.872093023255814,26,4341,4449,5000,60 * 60
2,4,54855276044263343241169025284462623402,0.0,26,3859,3939,4424,60 * 60
2,5,101059194265084299686495303313686161506,0.0,26,3728,3841,4309,60 * 60
2,6,52986773680219684805453217598473681079,0.0,26,3922,4034,4516,60 * 60
2,7,97184928913026522681503793974081111936,0.0,26,3668,3776,4221,60 * 60
2,8,76233557033668907823568746766007905937,0.0,26,2884,2961,3323,60 * 60
2,9,47569534988881401138684727513463608213,0.0,26,2572,2672,3009,60 * 60
3,0,328796435893956853781516941248485259188,0.0,38,2281,2387,2663,60 * 60
3,1,102636500495395082124883398467654690093,0.13297872340425532,38,4306,4442,5000,60 * 60
3,2,219957624080069618105276445757609586667,0.0,38,3093,3196,3579,60 * 60
3,3,135500853499065746107732985397219793805,0.0,38,3124,3217,3604,60 * 60
3,4,217630237132090464148617986389941429843,0.4195804195804196,38,4326,4448,5000,60 * 60
3,5,169605342569714984586961597987966481892,0.0,38,2601,2707,3024,60 * 60
3,6,293065891858946810555797885277277748611,0.0,38,3224,3343,3724,60 * 60
3,7,21093910739232252953094933709360168619,0.0,38,3165,3269,3660,60 * 60
3,8,167804863434010480764118371863378247149,0.0,38,2580,2670,2992,60 * 60
3,9,32676417991605595390318962013021425014,0.0,38,3322,3431,3851,60 * 60
4,0,18173634364127543299362224361260431365,0.0,50,2527,2623,2923,60 * 60
4,1,258437456131321395953668774454478402043,0.0,50,3095,3177,3566,60 * 60
4,2,249878806554587923812056228096703026736,0.0,50,1992,2090,2318,60 * 60
4,3,288978601330441187360599774199274972529,0.0,50,2244,2327,2595,60 * 60
4,4,47223826441497234116972312619082252216,0.0,50,2403,2507,2794,60 * 60
4,5,113928429213079031974536447635997833972,0.0,50,2611,2737,3052,60 * 60
4,6,296622870843194889132614405585845754518,0.0,50,2620,2713,3017,60 * 60
4,7,101219045801804879355380898833828395640,0.0,50,4018,4103,4598,60 * 60
4,8,195612082084124132135181470993901179520,0.0,50,2630,2711,3038,60 * 60
4,9,148610011178306678497268285407698045562,0.0,50,2458,2548,2841,60 * 60
