sample_id,iteration,seed,cleaned_cells,num_agents,min_moves,max_moves,size
0,0,314202875758550800101616392005608297365,58.65384615384615,1,1759,1759,40 * 40
0,1,11141275336480287174991540944265185811,60.691823899371066,1,1729,1729,40 * 40
0,2,125765248216957519504917346818342740623,73.93939393939394,1,1786,1786,40 * 40
0,3,74458938722778406615602544579186065357,62.58064516129032,1,1783,1783,40 * 40
0,4,295050591008393110559749638709024495368,60.691823899371066,1,1766,1766,40 * 40
0,5,15850599464501466909055466272078992300,62.1875,1,1714,1714,40 * 40
0,6,180545811941276644191717854252670699535,73.80191693290735,1,1740,1740,40 * 40
0,7,312900593891516318451977163629347904782,62.14511041009464,1,1739,1739,40 * 40
0,8,289830472946945776639433538475395276763,58.333333333333336,1,1771,1771,40 * 40
0,9,321829089388536097957588028391766384061,59.67741935483871,1,1766,1766,40 * 40
1,0,229227651495892838328199757556636235007,18.892508143322477,6,1746,1775,40 * 40
1,1,160812450214993779216308355289916296332,5.063291139240507,6,1747,1791,40 * 40
1,2,24592950712884107506785216186383858898,11.784511784511784,6,1737,1756,40 * 40
1,3,293799419151544976874458376814431034225,10.670731707317072,6,1735,1762,40 * 40
1,4,296075539911752897642975681445132490854,8.157099697885196,6,1734,1784,40 * 40
1,5,309736918135948905146504857092815475862,7.382550335570469,6,1710,1759,40 * 40
1,6,338977652948871674227483273478577279425,10.86261980830671,6,1716,1775,40 * 40
1,7,105888358220132426492092200440773471108,12.78688524590164,6,1742,1765,40 * 40
1,8,14990588537873095790993048251018589174,11.437908496732026,6,1729,1809,40 * 40
1,9,306007901473180875901820884026351823431,12.618296529968454,6,1730,1777,40 * 40
2,0,215201106184528556632640524906015641420,3.2467532467532467,11,1731,1778,40 * 40
2,1,279927589392311542858691491456110767661,2.7607361963190185,11,1739,1783,40 * 40
2,2,270451339868019422802977467079372020949,1.524390243902439,11,1737,1784,40 * 40
2,3,236356418606315624715978701262143737612,2.2222222222222223,11,1723,1766,40 * 40
2,4,68681650691934575945574842967555046770,12.012012012012011,11,1729,1772,40 * 40
2,5,197615779484659730775465074766458355391,0.9433962264150944,11,1744,1777,40 * 40
2,6,232209537495747255155589028369898075328,0.0,11,1711,1765,40 * 40
2,7,299793900462442892374678722603663353019,4.180064308681672,11,1706,1768,40 * 40
2,8,235270176082204566263166084751415683376,0.31347962382445144,11,1714,1770,40 * 40
2,9,12996336120821720963696678170006832167,5.521472392638037,11,1740,1785,40 * 40
3,0,17637266403187461059939291468744543666,4.430379746835443,16,1704,1772,40 * 40
3,1,279341262063106386696721061028450555668,0.0,16,1562,1634,40 * 40
3,2,207398328181138995754800374937785518520,0.0,16,1671,1718,40 * 40
3,3,252877337765685585041962321623126923979,0.5571030640668524,16,1706,1781,40 * 40
3,4,23837024210738898627961877774319205982,0.0,16,1683,1749,40 * 40
3,5,87665845406338584067465837869039461260,0.0,16,1719,1779,40 * 40
3,6,154437589663051751700727444444516893987,2.5559105431309903,16,1731,1784,40 * 40
3,7,32473037808248922563490257028583033969,0.970873786407767,16,1731,1784,40 * 40
3,8,230483556243650555297473566310819204024,0.303951367781155,16,1703,1793,40 * 40
3,9,177317046428959232704543168247830128177,1.1267605633802817,16,1699,1798,40 * 40
4,0,259134827670494157702663358877649445695,0.0,20,1650,1703,40 * 40
4,1,203462660526896706777249132978380274271,0.0,20,1415,1484,40 * 40
4,2,63721298066516637456052524978732126018,0.0,20,1583,1654,40 * 40
4,3,311507380115587409449635633343496243353,3.0716723549488054,20,1706,1784,40 * 40
4,4,159471451283676058682060505046218568855,0.0,20,1192,1258,40 * 40
4,5,106636480280457705857667234362297373954,0.0,20,1340,1397,40 * 40
4,6,86560758369385693493806351002941187461,0.9146341463414634,20,1709,1783,40 * 40
4,7,69595134650888832805564837753783604041,0.3401360544217687,20,1709,1788,40 * 40
4,8,266613129830426628444254419069557757010,0.6191950464396285,20,1702,1795,40 * 40
4,9,90122206590162009092685936071029669069,0.0,20,1114,1166,40 * 40
