sample_id,iteration,seed,cleaned_cells,num_agents,min_max_movements
0,0,338918653970748497125444867114938023123,52.63157894736842,1,"[87, 87]"
0,1,148673861112368800634319250252404656167,60.0,1,"[81, 81]"
0,2,219735043381198398457401418861918543575,54.54545454545455,1,"[87, 87]"
0,3,122609592667962818544964134303248787899,55.0,1,"[84, 84]"
0,4,239343598302172343917407403339410021719,55.55555555555556,1,"[83, 83]"
0,5,309703250835941779641218487324404931168,68.0,1,"[80, 80]"
0,6,10794096559972509062097600163998410181,76.92307692307692,1,"[76, 76]"
0,7,173986561883901781606719840227779697487,52.63157894736842,1,"[88, 88]"
0,8,165977648756383368139600844493130604636,87.5,1,"[86, 86]"
0,9,232218398464815366056794742500302148404,84.61538461538461,1,"[86, 86]"
1,0,128896418463046735607777164893926649737,0.0,6,"[59, 68]"
1,1,197294212853306156629757224194766805247,14.285714285714286,6,"[78, 90]"
1,2,48798327908956318900897518644303947102,25.0,6,"[74, 84]"
1,3,333283819227798249991725434607741973069,15.789473684210526,6,"[84, 87]"
1,4,294554469842619061980587159196873561672,6.896551724137931,6,"[78, 87]"
1,5,268725669428241532874154246653825731885,9.523809523809524,6,"[78, 87]"
1,6,250003703202665875622961027298082510828,6.25,6,"[81, 86]"
1,7,135850949019155184525267809206294982468,5.882352941176471,6,"[82, 91]"
1,8,39996452686163331812714137335575973783,5.2631578947368425,6,"[76, 87]"
1,9,338376850863532503322289844925018852945,6.666666666666667,6,"[73, 86]"
2,0,278522366673927790957356491637545983472,0.0,11,"[65, 83]"
2,1,122908496236357553802455169200630588303,4.761904761904762,11,"[77, 90]"
2,2,87753927332143463063156239373740623871,5.555555555555555,11,"[72, 93]"
2,3,206498671857904673014137075828704353659,0.0,11,"[74, 86]"
2,4,54485985259689842434938021395490364858,0.0,11,"[75, 85]"
2,5,130095594731903160432217331152004058253,0.0,11,"[71, 82]"
2,6,178555109292761410293640212614707743569,0.0,11,"[70, 89]"
2,7,31726288327868218910830406363748112265,0.0,11,"[68, 78]"
2,8,281419584681290040290439599036009795334,0.0,11,"[50, 65]"
2,9,283403092779465223788837914901972176355,0.0,11,"[56, 68]"
3,0,130660061346993750341686846709669704500,5.882352941176471,16,"[74, 86]"
3,1,104807287592474461568058676081409176643,7.142857142857143,16,"[77, 89]"
3,2,131451470667822131498619531722424216791,0.0,16,"[56, 70]"
3,3,107481061834973831261853065500172704791,0.0,16,"[47, 61]"
3,4,298748424357027480912822558502536821288,0.0,16,"[26, 33]"
3,5,112310602632979937591001477301653318347,5.555555555555555,16,"[72, 92]"
3,6,176565689442238176829139376024411497815,0.0,16,"[37, 49]"
3,7,177353066396674546761304689362261946136,0.0,16,"[64, 79]"
3,8,202239393497611656379418083001556591642,0.0,16,"[38, 50]"
3,9,163483374541355781729680703752409412175,0.0,16,"[56, 74]"
4,0,10862088831990850180005404630356734303,0.0,20,"[45, 58]"
4,1,98338360157066075677607622045387026388,0.0,20,"[43, 61]"
4,2,151582050873931130524841953163156239980,0.0,20,"[32, 41]"
4,3,241832909631377550291603769341687812534,0.0,20,"[51, 62]"
4,4,88103388777497709929404970876062081289,0.0,20,"[58, 73]"
4,5,519746233890451805542298744158160085,0.0,20,"[40, 52]"
4,6,79440055798431168033472206488120592481,0.0,20,"[51, 63]"
4,7,73065791178222597193574030243260346222,0.0,20,"[30, 38]"
4,8,60235136039671987010345642464259164094,0.0,20,"[48, 65]"
4,9,310687570005454177749366833975958065435,0.0,20,"[52, 64]"
