sample_id,iteration,seed,cleaned_cells,num_agents,min_moves,max_moves,total_steps,size
0,0,176228416122542422474785242334730206402,1.0416666666666667,1,4304,4304,5000,20 * 20
0,1,24406770703562596073762319895839004081,0.0,1,3265,3265,3721,20 * 20
0,2,3548776065323874429982539252975458366,0.0,1,3151,3151,3679,20 * 20
0,3,311285649726112436212836157051968499154,2.7777777777777777,1,4324,4324,5000,20 * 20
0,4,204950913459943162271507354409392888258,0.0,1,3049,3049,3468,20 * 20
0,5,62137950283996806836641656390256040391,0.0,1,3837,3837,4417,20 * 20
0,6,20331027796251033651993845178450442101,1.1111111111111112,1,4321,4321,5000,20 * 20
0,7,314417694992366936596645099251914883507,1.25,1,4342,4342,5000,20 * 20
0,8,217881612741781650127085244709116092831,1.1235955056179776,1,4344,4344,5000,20 * 20
0,9,229523448629880756437092293041070864156,1.1764705882352942,1,4329,4329,5000,20 * 20
1,0,308681642571219400923161471294045416790,0.0,6,1677,1721,1951,20 * 20
1,1,188963281561226868174196967359913634046,0.0,6,799,832,945,20 * 20
1,2,202951617078228840273215641189270869812,0.0,6,632,644,729,20 * 20
1,3,327803737072257597413713231560404408325,0.0,6,779,818,915,20 * 20
1,4,211881397144977767661323236934409176096,0.0,6,685,711,799,20 * 20
1,5,56324575643697791404607115522947191277,0.0,6,811,846,961,20 * 20
1,6,98657957994640528695810906471951503147,0.0,6,501,528,599,20 * 20
1,7,159562935085850595628260159099670774386,0.0,6,813,840,951,20 * 20
1,8,329141715556418741506594119739502382448,0.0,6,806,861,954,20 * 20
1,9,283004600592245046594481213207479615309,0.0,6,603,638,715,20 * 20
2,0,323631397301443486992703466933707273189,0.0,11,626,677,761,20 * 20
2,1,313763709859405472355817713721615454585,0.0,11,481,517,587,20 * 20
2,2,278619179579245165338035212058440968640,0.0,11,362,384,441,20 * 20
2,3,39412499656543353094430621428535643418,0.0,11,472,509,569,20 * 20
2,4,242954293029126560210011734093734450009,0.0,11,405,449,500,20 * 20
2,5,9661323653161577058024988926880251192,0.0,11,374,400,445,20 * 20
2,6,111540734104501840569209734797058026220,0.0,11,512,546,615,20 * 20
2,7,131317699441829419529215708646846044777,0.0,11,451,476,527,20 * 20
2,8,293571250033145331635185088181491756602,0.0,11,277,302,344,20 * 20
2,9,127536347207292234742605817633103106089,0.0,11,394,415,465,20 * 20
3,0,276651206290879215004065388067127510221,0.0,16,338,367,410,20 * 20
3,1,146987691807823383908835520101308097141,0.0,16,393,425,474,20 * 20
3,2,62773850173287654543232341416736580094,0.0,16,474,510,575,20 * 20
3,3,27598886099982181654329529952371504549,0.0,16,333,369,414,20 * 20
3,4,303999631842503374118593683953237235612,0.0,16,260,289,319,20 * 20
3,5,325478821082476282338618550675360943785,0.0,16,262,282,315,20 * 20
3,6,111923987790761341825514391508905128359,0.0,16,301,332,367,20 * 20
3,7,113587349722216246854020065888905392320,0.0,16,263,294,328,20 * 20
3,8,200735483820213986451859598094101895382,0.0,16,265,286,316,20 * 20
3,9,131792448227184406219932734464753219024,0.0,16,356,391,430,20 * 20
4,0,34319195456805622005702336455693825101,0.0,20,331,362,408,20 * 20
4,1,128548399795023205481943090209114361284,0.0,20,366,400,442,20 * 20
4,2,198304153807149225795016283348977561814,0.0,20,287,310,343,20 * 20
4,3,31795533231059922783800695922298160638,0.0,20,395,434,482,20 * 20
4,4,135737080862455764747522122042057911664,0.0,20,285,316,346,20 * 20
4,5,103975581328603660464431523269788587443,0.0,20,214,238,270,20 * 20
4,6,281045519431464142909077760504192277958,0.0,20,361,386,433,20 * 20
4,7,82924946409920463924231607198426989717,0.0,20,253,272,307,20 * 20
4,8,11236688174900628139072154456925724938,0.0,20,189,214,235,20 * 20
4,9,78406876553742023043532755809609476587,0.0,20,499,549,606,20 * 20
