sample_id,iteration,seed,cleaned_cells,num_agents,min_max_movements
0,0,222778698135484323977457466662651783259,83.33333333333333,1,"[76, 76]"
0,1,80776366487209954837016741335521830415,54.166666666666664,1,"[84, 84]"
0,2,79532359925785012108691202381001530938,55.0,1,"[84, 84]"
0,3,120749357036516543086005194286843549789,66.66666666666667,1,"[85, 85]"
0,4,270929080227845475743209896907502537850,62.06896551724138,1,"[85, 85]"
0,5,171925261856433594780358405226160991866,54.54545454545455,1,"[81, 81]"
0,6,228415625520830845003620875646839268202,62.5,1,"[79, 79]"
0,7,19437447067341978531092784740148431162,78.57142857142857,1,"[80, 80]"
0,8,96470581003605719888837677595749488432,75.0,1,"[79, 79]"
0,9,86759204253396852940577350885817332994,60.0,1,"[81, 81]"
1,0,246148019503650508134167911575306381927,14.285714285714286,6,"[77, 84]"
1,1,142914814827087865179677030907206670801,0.0,6,"[28, 35]"
1,2,318521506664844065522285152573474016417,0.0,6,"[75, 85]"
1,3,255518630230294357051432585116440375467,4.761904761904762,6,"[81, 88]"
1,4,138514925508560733555692091005718621862,15.789473684210526,6,"[76, 89]"
1,5,250872336189289438828543475968304210528,4.545454545454546,6,"[73, 87]"
1,6,85810748884009002960590540577104660640,9.523809523809524,6,"[72, 85]"
1,7,131469435681356691327348512409214490879,12.5,6,"[78, 88]"
1,8,113227174990674521816593773978456215393,0.0,6,"[66, 82]"
1,9,190410431413369976602929626387035574151,0.0,6,"[62, 76]"
2,0,68355079911779099162876821845497310725,9.523809523809524,11,"[69, 90]"
2,1,97806632817010474689221849941129548354,5.2631578947368425,11,"[69, 90]"
2,2,334019101659578381242973575731650084601,0.0,11,"[41, 53]"
2,3,122922546844792536228277625843401560315,6.666666666666667,11,"[71, 90]"
2,4,48524302002251934422625973679779586193,0.0,11,"[68, 78]"
2,5,310751236611237969294137940575031225150,5.555555555555555,11,"[80, 89]"
2,6,26345011373336740666813934822517568293,0.0,11,"[67, 78]"
2,7,56776522891546692338814904824625497230,30.0,11,"[76, 86]"
2,8,313998403674488989225366620642890021485,0.0,11,"[70, 79]"
2,9,297547007910230295524355832815864771815,0.0,11,"[48, 64]"
3,0,106718786950562993246458860312511855029,0.0,16,"[60, 82]"
3,1,134852029662958511308989337506702819654,0.0,16,"[40, 49]"
3,2,207148885434612916574306771644174815122,0.0,16,"[66, 77]"
3,3,40465952619729809526111369294871867265,0.0,16,"[65, 81]"
3,4,175260959505010374880326114201758091774,0.0,16,"[63, 77]"
3,5,331590158961419442835052410863606669628,0.0,16,"[43, 57]"
3,6,120337720264961960059094157705427512734,5.2631578947368425,16,"[74, 89]"
3,7,56573592432698514930237346118432223861,0.0,16,"[43, 56]"
3,8,196094238796959797884533117963115961821,0.0,16,"[52, 67]"
3,9,221489029389378960376405679047623736147,0.0,16,"[59, 74]"
4,0,150743933596576107401614948528771937220,0.0,20,"[46, 57]"
4,1,280544450468105899269343532695107339252,0.0,20,"[67, 81]"
4,2,15289212836104118746004759698554316919,0.0,20,"[45, 58]"
4,3,241434847789030680040384789422577211507,0.0,20,"[59, 72]"
4,4,134679308946402875837116627202211216751,0.0,20,"[26, 37]"
4,5,313382037159690219870208962642739932269,0.0,20,"[47, 62]"
4,6,275813923692856319705305232354252638694,0.0,20,"[45, 57]"
4,7,251959955995669929685551540843900137102,0.0,20,"[45, 58]"
4,8,90086420387100955780374591165853792854,3.8461538461538463,20,"[78, 93]"
4,9,330409883738339013951672022172700287508,0.0,20,"[48, 63]"
