sample_id,iteration,seed,cleaned_cells,num_agents,min_moves,max_moves,total_steps,size
0,0,105834412547843427759966139069942786272,0.0,1,2097,2097,2414,20 * 20
0,1,183105131763019806873688379889388934293,6.741573033707865,1,4321,4321,5000,20 * 20
0,2,88142292728891631007903636082595025008,1.25,1,4335,4335,5000,20 * 20
0,3,319245122939231010640828818448138881303,5.47945205479452,1,4283,4283,5000,20 * 20
0,4,156849180641301775129603705230929135369,1.3157894736842106,1,4315,4315,5000,20 * 20
0,5,1476781434215995881817308716084445802,0.0,1,3330,3330,3844,20 * 20
0,6,46808097149767135362712004401343727959,3.6144578313253013,1,4337,4337,5000,20 * 20
0,7,259257148926546588990170726755035353235,0.0,1,4078,4078,4674,20 * 20
0,8,88898249680736283445722244035297142517,2.5974025974025974,1,4336,4336,5000,20 * 20
0,9,257304956056270084185836335213472458336,0.0,1,4302,4302,4975,20 * 20
1,0,175888800510161255303686637739978723915,0.0,6,560,583,664,20 * 20
1,1,211689492046624017950813540093980501153,0.0,6,620,640,732,20 * 20
1,2,296231813328677543369146118794998223106,0.0,6,682,713,799,20 * 20
1,3,313642895326269681420336759170065258699,0.0,6,626,643,731,20 * 20
1,4,172736429052160630987260068600817723682,0.0,6,709,770,854,20 * 20
1,5,159754570769339590763526037370953790197,0.0,6,565,586,670,20 * 20
1,6,273734779637854978413669838174197520547,0.0,6,622,652,742,20 * 20
1,7,72166417148032190214274156286118624540,0.0,6,775,816,917,20 * 20
1,8,143233324827875317960689987126893438475,0.0,6,682,720,813,20 * 20
1,9,86825524131962281064711389721680578593,0.0,6,604,625,710,20 * 20
2,0,145087983096233287385852703497213115304,0.0,11,331,353,396,20 * 20
2,1,308109894094888721783262711227565246395,0.0,11,427,444,498,20 * 20
2,2,322232146590544811451764422761626679436,0.0,11,392,421,471,20 * 20
2,3,52640987469683569079659572189638486779,0.0,11,355,386,431,20 * 20
2,4,178837296429259746352999727853533503538,0.0,11,429,458,509,20 * 20
2,5,193135586792497848541374103416812441158,0.0,11,316,341,377,20 * 20
2,6,103744862943007093765607804053884301576,0.0,11,434,470,527,20 * 20
2,7,40716790351022217938928156046295973177,0.0,11,616,645,734,20 * 20
2,8,224435346068895771767777608043375939098,0.0,11,394,425,473,20 * 20
2,9,20457718975430062895288692719862628684,0.0,11,650,689,775,20 * 20
3,0,113320693274651026461983059593512710311,0.0,16,407,439,496,20 * 20
3,1,266003789895495880160170259059686165230,0.0,16,496,528,598,20 * 20
3,2,278913696715123043043697299833241545447,0.0,16,320,355,391,20 * 20
3,3,318912539181222740876983530141176385436,0.0,16,401,437,485,20 * 20
3,4,329311485940261472016976262167302061804,0.0,16,434,466,520,20 * 20
3,5,264136731501372507324421025117058907521,0.0,16,264,296,328,20 * 20
3,6,76332954142030557983744488542245974209,0.0,16,204,244,268,20 * 20
3,7,300269084252762038036696551290644782358,0.0,16,296,326,364,20 * 20
3,8,5325495930920014696998608256929099707,0.0,16,301,327,366,20 * 20
3,9,159362603671138594281402668703151412075,0.0,16,397,421,474,20 * 20
4,0,9120791507235393326931671783917966519,0.0,20,298,321,355,20 * 20
4,1,120128238196900951330709980209778220085,0.0,20,286,310,346,20 * 20
4,2,127239570183122611534931461535932340946,0.0,20,384,414,463,20 * 20
4,3,170139599554586981072529491327705595214,0.0,20,269,296,338,20 * 20
4,4,132702592612417523493295827790001213245,0.0,20,300,349,383,20 * 20
4,5,52834351867003671386185846546824236906,0.0,20,404,449,494,20 * 20
4,6,236515248328516363928086085400769768867,0.0,20,310,340,382,20 * 20
4,7,82984149113276966315101068772350157893,0.0,20,278,302,336,20 * 20
4,8,25736448476925192736973208331156517311,0.0,20,299,330,366,20 * 20
4,9,152023312602878234534659378706345918507,0.0,20,261,294,320,20 * 20
