sample_id,iteration,seed,cleaned_cells,num_agents,min_moves,max_moves,total_steps,size
0,0,208327457542246228250289898642322825770,78.76506024096386,1,4412,4412,5000,60 * 60
0,1,227740257108239779917478904008914575641,60.252808988764045,1,4397,4397,5000,60 * 60
0,2,68305543334134493936789230861098865259,56.427604871447905,1,4345,4345,5000,60 * 60
0,3,179189641679390474895360222607640279109,72.27722772277228,1,4389,4389,5000,60 * 60
0,4,255593832283114049750956734695053235674,69.54732510288066,1,4383,4383,5000,60 * 60
0,5,273403576400891395843216948396448336363,62.874251497005986,1,4372,4372,5000,60 * 60
0,6,238332817361888876838257694040258103263,66.34877384196186,1,4417,4417,5000,60 * 60
0,7,98992341100042333719869758762356383560,63.0,1,4386,4386,5000,60 * 60
0,8,334505960630355860340760985268918161715,71.17241379310344,1,4365,4365,5000,60 * 60
0,9,105809159932100021130800791359680537330,63.63636363636363,1,4413,4413,5000,60 * 60
1,0,245293702283035462512642124819246725632,4.741379310344827,6,4391,4439,5000,60 * 60
1,1,32579467175264112934490247976224421407,8.369408369408369,6,4384,4473,5000,60 * 60
1,2,274969632392483532486909452780024378067,8.583106267029972,6,4355,4441,5000,60 * 60
1,3,88712342187895298924443641574030513009,13.279132791327914,6,4359,4424,5000,60 * 60
1,4,303370883171371252277678770019536865256,3.937007874015748,6,4378,4493,5000,60 * 60
1,5,39556630439039178678346923321309590548,9.598853868194842,6,4359,4427,5000,60 * 60
1,6,293501909355761122034149732879842953921,5.2259887005649714,6,4320,4425,5000,60 * 60
1,7,304381070171965038952220011311495367083,4.593175853018373,6,4363,4440,5000,60 * 60
1,8,20038485142572085267138426820681746372,7.598371777476255,6,4349,4434,5000,60 * 60
1,9,266796399925354935608893458758749468312,5.882352941176471,6,4373,4450,5000,60 * 60
2,0,15362399811613581065090125606606844414,0.5908419497784343,11,4362,4433,5000,60 * 60
2,1,100846236446051276222288745437917023186,1.5691868758915835,11,4370,4438,5000,60 * 60
2,2,210447271627453799561761160993045921994,2.5316455696202533,11,4381,4457,5000,60 * 60
2,3,60355394948212067569292864251159887629,4.888268156424581,11,4353,4424,5000,60 * 60
2,4,139278237411834097518952163872124040199,0.43541364296081275,11,4356,4436,5000,60 * 60
2,5,143444107972633674825070311115101317564,1.7142857142857142,11,4353,4454,5000,60 * 60
2,6,79716582261677427044915571585849655909,1.4164305949008498,11,4352,4451,5000,60 * 60
2,7,80295946326206588626515946912460392095,1.7759562841530054,11,4346,4437,5000,60 * 60
2,8,126756506078228957249441894545162996484,1.6150740242261103,11,4332,4454,5000,60 * 60
2,9,266013820258584783230476374638688746652,1.5965166908563135,11,4359,4477,5000,60 * 60
3,0,223311882431874234943253257800776062457,0.0,16,4222,4311,4841,60 * 60
3,1,127358558620331552016313888958008648482,0.5681818181818182,16,4329,4455,5000,60 * 60
3,2,33712813748772774507253062327446855865,0.1364256480218281,16,4363,4440,5000,60 * 60
3,3,30648302930287114980960665840937364513,0.0,16,4263,4371,4910,60 * 60
3,4,296123189327317192300375440283050254910,0.43541364296081275,16,4350,4452,5000,60 * 60
3,5,184657551674240624700739067886957152337,0.0,16,4290,4400,4914,60 * 60
3,6,10128897244212517387772497400590907128,0.13210039630118892,16,4339,4459,5000,60 * 60
3,7,277929504904619331087136376424426618692,0.5018820577164367,16,4319,4424,5000,60 * 60
3,8,157731873703622072847685641751848945657,0.13986013986013987,16,4375,4447,5000,60 * 60
3,9,9358360854112648392941279948004468608,0.6944444444444444,16,4342,4450,5000,60 * 60
4,0,220065684785069176717299318601002307139,1.0101010101010102,20,4350,4453,5000,60 * 60
4,1,51102719255076365626599674701084861403,0.0,20,3545,3614,4052,60 * 60
4,2,105063086380213688050830732463761845319,0.0,20,2943,3012,3391,60 * 60
4,3,50149748101568942440754077197881424773,0.0,20,3968,4108,4601,60 * 60
4,4,79166852757048272912781725694172572137,0.0,20,3692,3778,4247,60 * 60
4,5,6346924514390730464335961519599672779,0.0,20,4227,4312,4839,60 * 60
4,6,224075016273145631754882691550818483840,0.0,20,4209,4277,4824,60 * 60
4,7,31753693036756550595178492736003101784,0.14204545454545456,20,4367,4466,5000,60 * 60
4,8,322910212857374962943200623482996014822,0.2808988764044944,20,4319,4469,5000,60 * 60
4,9,271154964241683734142761663384872938561,0.0,20,4109,4186,4700,60 * 60
