sample_id,iteration,seed,cleaned_cells,num_agents,min_moves,max_moves,total_steps,size
0,0,42654954514524869568919613350451689950,56.94444444444444,1,4437,4437,5000,60 * 60
0,1,179952832609283757127421979097258977657,76.40306122448979,1,4354,4354,5000,60 * 60
0,2,64570955779180568572709878347198253476,64.88764044943821,1,4445,4445,5000,60 * 60
0,3,28390502947194648744880243590544730311,62.39316239316239,1,4394,4394,5000,60 * 60
0,4,327682010617393235404733876632729460660,59.831460674157306,1,4391,4391,5000,60 * 60
0,5,154990447963373534298041871180407180492,57.78635778635778,1,4404,4404,5000,60 * 60
0,6,134888523931357471777615265961991346162,59.61800818553888,1,4413,4413,5000,60 * 60
0,7,103244098073484850961219558286327135471,74.96503496503496,1,4332,4332,5000,60 * 60
0,8,130404852318024504726798062649382078851,60.78167115902965,1,4377,4377,5000,60 * 60
0,9,86757958120067609425316294541529523401,74.25320056899004,1,4381,4381,5000,60 * 60
1,0,26787690326624881010882597835289644565,0.2801120448179272,13,4366,4424,5000,60 * 60
1,1,210289403986996783306194339928625088098,0.6613756613756614,13,4351,4447,5000,60 * 60
1,2,283752238645233367693981009072423334489,1.5384615384615385,13,4343,4450,5000,60 * 60
1,3,85229350026307108870330922314824840694,0.8119079837618404,13,4374,4441,5000,60 * 60
1,4,321646065350090240195339866483182892216,0.8658008658008658,13,4363,4459,5000,60 * 60
1,5,294220301181767523967125607021544122086,0.0,13,4168,4234,4777,60 * 60
1,6,8719344464927797356004624292987281968,0.28901734104046245,13,4356,4465,5000,60 * 60
1,7,101303963304537263628065698349029744265,3.5346097201767304,13,4374,4459,5000,60 * 60
1,8,269310773487394053852622107034660320693,0.5494505494505495,13,4353,4463,5000,60 * 60
1,9,12877946566281939505926609793612378423,3.6262203626220364,13,4347,4446,5000,60 * 60
2,0,281468554673871429197364270326494600290,0.0,26,2853,2923,3282,60 * 60
2,1,112917073563397379712449083630831985816,0.0,26,3979,4113,4610,60 * 60
2,2,136414816831555192510538520742290303639,0.0,26,3909,4018,4490,60 * 60
2,3,127908978017938054030939063718172397176,0.14771048744460857,26,4350,4491,5000,60 * 60
2,4,21728109790901064208104150729982303907,0.0,26,3642,3731,4190,60 * 60
2,5,23643832870268837708443801439254538983,0.0,26,3723,3810,4280,60 * 60
2,6,188209462100897225932063700501932140858,0.14388489208633093,26,4301,4441,5000,60 * 60
2,7,42176338950387810402263804384456558693,0.0,26,3157,3251,3646,60 * 60
2,8,216420750047365041354506143730110262208,0.0,26,4176,4262,4794,60 * 60
2,9,40865375237515736445961781221583023398,0.0,26,3356,3476,3905,60 * 60
3,0,13726134280180123167553472701400777766,0.0,38,2816,2896,3255,60 * 60
3,1,182328235558384517033225782395648261078,0.0,38,2371,2470,2757,60 * 60
3,2,278862659174091477496833476211214544959,0.0,38,3857,3982,4444,60 * 60
3,3,145384376088093491996239544658429555126,0.0,38,2865,2969,3324,60 * 60
3,4,256477452883465012386822871808127630697,0.0,38,4214,4360,4879,60 * 60
3,5,122770284736556968397268989047260858964,0.0,38,2867,2962,3317,60 * 60
3,6,308200035759676552496202259074506779168,0.0,38,2035,2105,2351,60 * 60
3,7,297644059389665403399255411508456787640,0.0,38,3296,3386,3793,60 * 60
3,8,89832266563421594258480373499308378363,0.0,38,1945,2027,2278,60 * 60
3,9,56520441942963749334433048189099608608,0.0,38,3311,3425,3838,60 * 60
4,0,101440180722617998152976007912467595054,0.0,50,2292,2372,2658,60 * 60
4,1,8157448576901421336009952863455670877,0.0,50,2617,2723,3041,60 * 60
4,2,220242906406799821397649144306934280658,0.0,50,2287,2361,2641,60 * 60
4,3,325292708371845583522326360750410353204,0.0,50,2629,2730,3055,60 * 60
4,4,220275281844584601596635057547215300554,0.0,50,2937,3051,3399,60 * 60
4,5,108766325729928766138448630008044426662,0.0,50,2535,2621,2930,60 * 60
4,6,10758647988967440562949596881316954039,0.0,50,2497,2604,2901,60 * 60
4,7,203573821383716944488365194873052329355,0.0,50,3165,3258,3666,60 * 60
4,8,186450245558373869305897831486192680787,0.0,50,1926,2044,2248,60 * 60
4,9,179465906699036853499077621774058224918,0.0,50,3078,3177,3561,60 * 60
