sample_id,iteration,seed,cleaned_cells,num_agents,min_max_movements,size
0,0,144541594519408536223984817653395148776,33.333333333333336,1,"[76, 76]",10 * 10
0,1,216143681462589697002040007132138960505,73.6842105263158,1,"[90, 90]",10 * 10
0,2,24275200804106825427676539334383195596,58.8235294117647,1,"[92, 92]",10 * 10
0,3,159488979961050869986819102172223591521,60.0,1,"[85, 85]",10 * 10
0,4,71390321833611196624254508772398204696,65.0,1,"[73, 73]",10 * 10
0,5,254671341430806736282727168130397374021,65.0,1,"[79, 79]",10 * 10
0,6,301309221570808862141968470594320430359,52.38095238095238,1,"[84, 84]",10 * 10
0,7,192953108907175607453843604496141288714,50.0,1,"[83, 83]",10 * 10
0,8,118599488671943173984702753880125265448,50.0,1,"[85, 85]",10 * 10
0,9,230187402934671253416593730339375311467,52.63157894736842,1,"[87, 87]",10 * 10
0,10,315805726658839884764637952833748269405,78.57142857142857,1,"[92, 92]",10 * 10
0,11,60449188608269608612281152297405110986,78.57142857142857,1,"[82, 82]",10 * 10
0,12,135854469093501308997452603986807652462,76.92307692307692,1,"[76, 76]",10 * 10
0,13,179024634394443682653488817214538684998,82.3529411764706,1,"[78, 78]",10 * 10
0,14,122384413545880674915000334316917486483,69.56521739130434,1,"[82, 82]",10 * 10
0,15,282844869585199121896024511071860696113,75.0,1,"[80, 80]",10 * 10
0,16,34956053066217917124040222575878526258,94.44444444444444,1,"[76, 76]",10 * 10
0,17,153934518310613258914486320740057638477,42.857142857142854,1,"[79, 79]",10 * 10
0,18,309389647809679124229359799199940352221,55.55555555555556,1,"[81, 81]",10 * 10
0,19,216164948564260178950438963315993567065,38.888888888888886,1,"[85, 85]",10 * 10
1,0,100772430165321231104559353689721368260,20.0,6,"[77, 91]",10 * 10
1,1,184360410475047333737450669831518637710,11.764705882352942,6,"[71, 91]",10 * 10
1,2,109055489027742496376691254492596329249,13.636363636363637,6,"[79, 88]",10 * 10
1,3,260661943138914746433483656010269703,5.0,6,"[82, 91]",10 * 10
1,4,53787167373531781137910899016154737759,5.555555555555555,6,"[74, 91]",10 * 10
1,5,177835631928357293501918828795896908035,7.6923076923076925,6,"[78, 86]",10 * 10
1,6,228372560008166120413661371327560287243,6.25,6,"[78, 90]",10 * 10
1,7,327495443554093573102054424543122488582,11.11111111111111,6,"[79, 92]",10 * 10
1,8,332829355465940655582185611943889865167,22.727272727272727,6,"[80, 86]",10 * 10
