sample_id,iteration,seed,cleaned_cells,num_agents,min_max_movements
0,0,70504726172123727781735551806061211843,65.0,1,"[79, 79]"
0,1,6273813719194965254777957836942602024,52.94117647058823,1,"[85, 85]"
0,2,211411587785521777669542107804142257974,63.1578947368421,1,"[80, 80]"
0,3,296934004789721207099835900944493408907,55.55555555555556,1,"[80, 80]"
0,4,234462612969475272638925604905465736628,61.53846153846154,1,"[89, 89]"
0,5,198372391689093898843300401267149019857,78.26086956521739,1,"[81, 81]"
0,6,333334554808910049385433208541031728913,54.54545454545455,1,"[88, 88]"
0,7,73599075788424449825593305967070299831,100.0,1,"[76, 76]"
0,8,233408635539581694392567731257149953358,70.0,1,"[85, 85]"
0,9,92687674442541006144401038947107603638,62.5,1,"[82, 82]"
1,0,72170182739819957117548789096439274448,0.0,6,"[76, 81]"
1,1,86858617716187318883337955319905667310,10.0,6,"[71, 87]"
1,2,288893818467988291835855291329646125211,23.076923076923077,6,"[77, 90]"
1,3,291835098993676157985975082034930845856,22.22222222222222,6,"[78, 95]"
1,4,256864236422179286925027331872068253386,5.555555555555555,6,"[78, 86]"
1,5,57241340779212352491533341338771333563,18.75,6,"[80, 84]"
1,6,106734610893117579037643701277115017501,4.0,6,"[79, 89]"
1,7,154543046898541152600166087484637978756,4.166666666666667,6,"[73, 92]"
1,8,46263936004019657821632328190304302128,0.0,6,"[67, 71]"
1,9,299482191165535023873861551872189261692,21.73913043478261,6,"[80, 88]"
2,0,2513582110669207047432251713672330931,0.0,11,"[69, 89]"
2,1,109909260083486104270591333271251095587,0.0,11,"[64, 76]"
2,2,239307832247650968525426018355816416791,0.0,11,"[55, 70]"
2,3,15455708106622510137447931068115809657,7.6923076923076925,11,"[78, 91]"
2,4,5126964569447578804534176726608147903,5.882352941176471,11,"[72, 89]"
2,5,136363794817112270455088791529906838002,4.0,11,"[76, 87]"
2,6,167728138094391819139510422498346547090,0.0,11,"[56, 69]"
2,7,6898232889092043609660877099627321595,0.0,11,"[51, 64]"
2,8,79261636209803140851116233490361470987,8.333333333333334,11,"[79, 91]"
2,9,29493425289490055780690726278745663129,0.0,11,"[67, 77]"
3,0,247081704114114419867666777194603563544,0.0,16,"[64, 77]"
3,1,307316615323525341212903659973609893878,0.0,16,"[63, 77]"
3,2,338696311462987602123729542611505925451,5.555555555555555,16,"[77, 91]"
3,3,267968839015586913318768627810281994099,0.0,16,"[38, 49]"
3,4,78639944896546338482519213399415748096,8.695652173913043,16,"[70, 90]"
3,5,93476143830478247372524799694798057528,0.0,16,"[67, 79]"
3,6,202789262286391081662382884183017180242,8.695652173913043,16,"[78, 88]"
3,7,133489152250215517400102349189572475754,0.0,16,"[52, 61]"
3,8,275647789161962936254209929339365912745,0.0,16,"[39, 49]"
3,9,266151422766918247656371711502173367566,0.0,16,"[28, 48]"
4,0,239637398290329910154034254543101033820,0.0,20,"[39, 57]"
4,1,195408435822037268676667918932533421656,0.0,20,"[41, 52]"
4,2,228356787955929478302034778141617412227,0.0,20,"[37, 50]"
4,3,70235116082006066554385617944158837805,0.0,20,"[55, 71]"
4,4,165880892333447826163360597682358149876,3.7037037037037037,20,"[79, 90]"
4,5,43692070643073012912266977849977409445,0.0,20,"[46, 61]"
4,6,154179940249646279370037118604550389132,0.0,20,"[51, 63]"
4,7,76472805375785911163781497578398030244,0.0,20,"[44, 58]"
4,8,313513565501741421911792292545187634110,0.0,20,"[23, 36]"
4,9,128661142617569122839225351342294012036,0.0,20,"[67, 85]"
