sample_id,iteration,seed,cleaned_cells,num_agents,min_max_movements,size
0,0,276242650820111566901603877783668897175,68.42105263157895,1,"[82, 82]",10 * 10
0,1,154878332046740411450808892924578104731,83.33333333333333,1,"[82, 82]",10 * 10
0,2,294682058028948788806347161137684279563,70.37037037037037,1,"[83, 83]",10 * 10
0,3,325296459647665146445905121340756978876,73.6842105263158,1,"[84, 84]",10 * 10
0,4,324368763768326450284056029182754434555,42.857142857142854,1,"[89, 89]",10 * 10
0,5,177312285933950516306887861279548719984,47.82608695652174,1,"[81, 81]",10 * 10
0,6,37287912854051860379621744722153821756,48.0,1,"[91, 91]",10 * 10
0,7,52529935673966550944190375948967986298,54.54545454545455,1,"[77, 77]",10 * 10
0,8,108659310536776175795809014677380289382,72.22222222222223,1,"[83, 83]",10 * 10
0,9,330839828611475210040046460784184948525,54.54545454545455,1,"[83, 83]",10 * 10
1,0,336613224187552453106382301287785058661,25.0,6,"[73, 86]",10 * 10
1,1,125063351981834029434105757777694902967,6.666666666666667,6,"[80, 91]",10 * 10
1,2,135476420753140362829592117144644093783,12.5,6,"[83, 86]",10 * 10
1,3,53075179734754366768617746228835591841,9.090909090909092,6,"[76, 87]",10 * 10
1,4,253596604514575180669586240281657059107,0.0,6,"[56, 64]",10 * 10
1,5,33473715153087827477365250513432727986,5.882352941176471,6,"[83, 91]",10 * 10
1,6,86677862848637734242215628939829943891,3.7037037037037037,6,"[71, 85]",10 * 10
1,7,223146688615407796821023344787067235751,11.764705882352942,6,"[74, 87]",10 * 10
1,8,60578105143204416197659607581363032243,5.2631578947368425,6,"[76, 85]",10 * 10
1,9,69997468272463824136896001790036504636,10.0,6,"[77, 82]",10 * 10
2,0,99063352341945076912608595494696742789,5.0,11,"[72, 87]",10 * 10
2,1,47625214068079345085078014783372068503,0.0,11,"[57, 70]",10 * 10
2,2,306376090093003015610816899703427221340,15.789473684210526,11,"[75, 93]",10 * 10
2,3,270604228919182678723466506934587957740,4.545454545454546,11,"[77, 88]",10 * 10
2,4,10957971168453988381646496199907843105,0.0,11,"[44, 62]",10 * 10
2,5,53147462034650773905358051928653400792,0.0,11,"[72, 81]",10 * 10
2,6,42585033697430843927487720399428181139,3.5714285714285716,11,"[74, 88]",10 * 10
2,7,195892634419035403047379295232233618199,0.0,11,"[76, 93]",10 * 10
2,8,246384074641840002669834882415718674085,0.0,11,"[47, 53]",10 * 10
2,9,214164081525389578666062661516857124710,0.0,11,"[58, 73]",10 * 10
3,0,178072845877514857090395678844070423892,5.2631578947368425,16,"[79, 88]",10 * 10
3,1,207196491049324638208123105406654153758,0.0,16,"[43, 53]",10 * 10
3,2,323548885330422314261687451323537377969,0.0,16,"[59, 71]",10 * 10
3,3,6264628351710579277385171592916649462,13.043478260869565,16,"[77, 89]",10 * 10
3,4,321746692773100773815418445896772070412,0.0,16,"[66, 83]",10 * 10
3,5,41805295476447183699469173509493462503,0.0,16,"[24, 31]",10 * 10
3,6,282982696174803289686958038059341433544,0.0,16,"[64, 76]",10 * 10
3,7,290662445595600522354012423145862843952,0.0,16,"[63, 79]",10 * 10
3,8,29719410637035511237648958869120497246,3.7037037037037037,16,"[79, 91]",10 * 10
3,9,72569699381067968530371594971028104317,0.0,16,"[43, 53]",10 * 10
4,0,149128106166775184716576360639936136404,0.0,20,"[54, 79]",10 * 10
4,1,46468843582141769844299545915234809158,0.0,20,"[24, 34]",10 * 10
4,2,179691130345656998406158729428533522055,3.8461538461538463,20,"[74, 92]",10 * 10
4,3,114180987293788145365346265857430673203,0.0,20,"[55, 69]",10 * 10
4,4,139285462012352919435504105516587479364,0.0,20,"[76, 90]",10 * 10
4,5,144762670466714004072871952584214671266,0.0,20,"[39, 57]",10 * 10
4,6,320229604968660972241878836433060984335,0.0,20,"[41, 50]",10 * 10
4,7,98141395882018010601836423507318107076,0.0,20,"[52, 67]",10 * 10
4,8,327017033567538442033159465689422853428,0.0,20,"[48, 60]",10 * 10
4,9,93819609523905407911982411259191594304,0.0,20,"[35, 47]",10 * 10
