sample_id,iteration,seed,cleaned_cells,num_agents,min_max_movements
0,0,75265692027489537610042452832894137151,47.05882352941177,1,"[81, 81]"
0,1,14588967936579639197297619973558586836,41.1764705882353,1,"[82, 82]"
0,2,8069032505130825730946425113643435319,65.0,1,"[90, 90]"
0,3,109703977446920344484111692714762117039,59.25925925925926,1,"[82, 82]"
0,4,311888209462669505481413845036543124069,57.89473684210526,1,"[74, 74]"
0,5,329056376268144844570776148725749500932,57.142857142857146,1,"[89, 89]"
0,6,17798095346044362884540808088144186176,68.75,1,"[77, 77]"
0,7,167678857381051328040088271338059919920,60.0,1,"[74, 74]"
0,8,82245656824627873018910569174612070565,70.0,1,"[77, 77]"
0,9,113813059456014065596926270222108474560,52.17391304347826,1,"[84, 84]"
1,0,187565062098666208049733877872721647928,23.529411764705884,6,"[73, 84]"
1,1,266506354647584065552612307562432031185,0.0,6,"[58, 74]"
1,2,123985380825817748630185930293843724561,0.0,6,"[55, 61]"
1,3,292309010081582882219256503326241204267,4.761904761904762,6,"[79, 82]"
1,4,293445221247925593470179145200117725656,0.0,6,"[73, 80]"
1,5,227348179039700013849691385854296328280,3.7037037037037037,6,"[75, 89]"
1,6,134582554182523314874017043771481502573,0.0,6,"[57, 65]"
1,7,17294898598095425476072096408613698868,8.695652173913043,6,"[79, 84]"
1,8,274709122269349611192650178796801053131,23.076923076923077,6,"[77, 86]"
1,9,276448834121978373527371773645359211074,10.0,6,"[82, 89]"
2,0,161663568741556852649799162855437731189,0.0,11,"[68, 81]"
2,1,191964489728052981728298826407818734727,7.6923076923076925,11,"[70, 87]"
2,2,121628673153320943000529447717550836669,0.0,11,"[72, 81]"
2,3,208699079744377717085285936485506809665,12.0,11,"[80, 91]"
2,4,338502241295827447508870975650264786210,0.0,11,"[68, 80]"
2,5,214173880365192652164025982231146088964,0.0,11,"[52, 64]"
2,6,326970744134786757521102363036154985760,0.0,11,"[72, 86]"
2,7,143022331178425260268748600657531781310,0.0,11,"[40, 50]"
2,8,287520678061813625514388018398118098819,0.0,11,"[73, 80]"
2,9,218469314899539101661199254061863022019,0.0,11,"[63, 74]"
3,0,57996684074374643266381509618295677687,0.0,16,"[48, 61]"
3,1,330376136385312509054343530128450667812,0.0,16,"[69, 81]"
3,2,88857860871843988174778991171548609353,0.0,16,"[29, 41]"
3,3,99003785957198289184459464410308382944,0.0,16,"[54, 66]"
3,4,67328187182367788549945957145722408750,0.0,16,"[57, 70]"
3,5,246492802551530562366093803591262450114,0.0,16,"[42, 53]"
3,6,115020405157232375311513668108654910247,0.0,16,"[58, 79]"
3,7,50960597330788023688711042611802222125,0.0,16,"[55, 66]"
3,8,251903401471649228381887495433914663069,0.0,16,"[66, 82]"
3,9,110524102426448324613880624816772637069,0.0,16,"[49, 61]"
4,0,205694619964426068543431582814376248689,0.0,20,"[38, 51]"
4,1,54209594952976953322982075986364527073,0.0,20,"[48, 61]"
4,2,211676727185171190674989550519674151017,0.0,20,"[48, 59]"
4,3,114594246542063763149336540240255123316,0.0,20,"[40, 50]"
4,4,314081196638869133726439018316817406071,0.0,20,"[37, 49]"
4,5,209778514805550762932434403698732542103,0.0,20,"[51, 70]"
4,6,291651386901821670611783280330848539920,4.545454545454546,20,"[77, 89]"
4,7,94234307699232954116536490211135524731,0.0,20,"[70, 84]"
4,8,60987962305319282978686835236742866320,0.0,20,"[37, 45]"
4,9,308415863421482913704969339461769810296,0.0,20,"[30, 41]"
