sample_id,iteration,seed,cleaned_cells,num_agents,min_max_movements
0,0,269129082639473460596301294994634595079,33.333333333333336,1,"[91, 91]"
0,1,202905231476200541679755482249081296540,57.69230769230769,1,"[91, 91]"
0,2,192011314520611747316331901718439914559,61.904761904761905,1,"[80, 80]"
0,3,296374642439515034955623251076789076154,52.63157894736842,1,"[88, 88]"
0,4,243639801682413335973695089687452306065,46.15384615384615,1,"[83, 83]"
0,5,136923001907450674058365813963060210590,53.84615384615385,1,"[87, 87]"
0,6,217850615062525438369588738998085907048,69.23076923076923,1,"[70, 70]"
0,7,182944560987246368947322532535395538065,55.55555555555556,1,"[85, 85]"
0,8,45240436651992728908296009513327293655,50.0,1,"[90, 90]"
0,9,121383545509794678928477024894009702074,65.0,1,"[73, 73]"
1,0,93278622267094697652409173362766333615,14.285714285714286,6,"[78, 85]"
1,1,257699356678383816004131624385271836309,9.523809523809524,6,"[77, 89]"
1,2,89239389191699477268646177317480499688,10.0,6,"[75, 90]"
1,3,121497513877670834949458526478380211519,0.0,6,"[66, 77]"
1,4,35368697308171673581101604419335210450,26.923076923076923,6,"[79, 88]"
1,5,64174330604651492160591947870614701848,0.0,6,"[55, 67]"
1,6,305181878922325984904855205627321958752,0.0,6,"[44, 54]"
1,7,196995081609167940701737367532674652170,0.0,6,"[65, 76]"
1,8,13868094166604912793648176340143464971,0.0,6,"[74, 81]"
1,9,73457841995368402555093037067527191953,20.0,6,"[80, 93]"
2,0,114387899159838453368107859853298545132,5.2631578947368425,11,"[74, 89]"
2,1,44162107750686098330316445727482133740,7.6923076923076925,11,"[76, 89]"
2,2,189826521424364185142768062658786363364,4.761904761904762,11,"[72, 90]"
2,3,4452390641271588458676101389653171391,0.0,11,"[47, 58]"
2,4,294382787442074375810703678055962213568,15.384615384615385,11,"[75, 90]"
2,5,211153694376803963921996403158247669796,4.761904761904762,11,"[75, 87]"
2,6,167877454028736109876189710921730461023,0.0,11,"[55, 66]"
2,7,229517104958056387019749998711798765899,6.666666666666667,11,"[76, 87]"
2,8,71940855918778959367361253053229215289,0.0,11,"[67, 81]"
2,9,133805750488239763279000215150531766306,16.666666666666668,11,"[73, 89]"
3,0,10346633066285090485371566791276609360,0.0,16,"[42, 58]"
3,1,335839108460777213736634207899007768048,0.0,16,"[50, 67]"
3,2,246446751866922663575509819860587964721,0.0,16,"[55, 68]"
3,3,306302945518839619639823439782664927700,0.0,16,"[36, 48]"
3,4,264489916114759401888546583253447317984,0.0,16,"[39, 49]"
3,5,148087679536380751805111346807584389313,5.0,16,"[76, 88]"
3,6,141672541824322160420519305203392879988,0.0,16,"[73, 88]"
3,7,233596262837403098254649516978246839414,0.0,16,"[28, 40]"
3,8,98613658793250409447685244597273727639,0.0,16,"[48, 58]"
3,9,185256027730854685029141737889039092369,0.0,16,"[39, 55]"
4,0,61333758839034684380245972201728998011,4.3478260869565215,20,"[71, 91]"
4,1,286560817131845239682497232497609969451,0.0,20,"[62, 74]"
4,2,286158024452299612854538564948241249024,0.0,20,"[32, 45]"
4,3,158639418259373099003611881314826659494,0.0,20,"[42, 60]"
4,4,99621811665325876842584507892496609971,0.0,20,"[56, 78]"
4,5,197028436479120715894428208595753234170,4.3478260869565215,20,"[71, 94]"
4,6,180786683514452434834790592116985580406,0.0,20,"[37, 49]"
4,7,213180265950862371798918685105927682987,0.0,20,"[19, 30]"
4,8,323816774774387240753045153692455447610,0.0,20,"[56, 73]"
4,9,22959766801550839660660054980535879909,0.0,20,"[28, 36]"
