sample_id,iteration,seed,cleaned_cells,agents
0,0,135450325226323046431594058990558954726,52.0,[83]
0,1,35115415171880586087040479420440400358,58.62068965517241,[86]
0,2,199625154802845288962198147760024780871,76.47058823529412,[73]
0,3,264613909642349772148897317740607399426,68.42105263157895,[78]
0,4,149225158595706744809303580504681867868,72.0,[80]
0,5,302987724511026715280934378293117598955,65.21739130434783,[86]
0,6,31570208119970798224824107648674907994,60.0,[91]
0,7,49544936148583304472213395180578880911,62.5,[83]
0,8,209613518361816656124100222411777244277,50.0,[80]
0,9,47828891522232617057867893156279167958,80.0,[77]
0,10,212711166744393961991277819312178543576,77.77777777777777,[84]
0,11,38339607165151429603402806223793555330,69.56521739130434,[83]
0,12,254833965834610351402429627653577437494,65.0,[87]
0,13,299997709307199576018984504073292112929,48.0,[82]
0,14,183216807540914013560700951185913487433,73.33333333333333,[87]
0,15,315424921199622961333840731324468469406,50.0,[79]
0,16,318630277925341704843343612483711158322,73.6842105263158,[83]
0,17,57489647310824117735089193450175990137,58.333333333333336,[82]
0,18,236171384141588225315894220687492295103,55.0,[89]
0,19,302088416536201530980287446602874238600,78.57142857142857,[77]
0,20,338153737164925792058539693926515986790,65.21739130434783,[85]
0,21,89241173952285453095304969278596417452,95.0,[77]
0,22,269354456589876911521051283356417695746,52.38095238095238,[83]
0,23,226526223952603093800496852887135008405,68.42105263157895,[80]
0,24,19667975279660271138141213478106635179,56.52173913043478,[76]
0,25,241251922437951607156364980130182557599,61.111111111111114,[83]
0,26,122949721246694777482735843105748414709,50.0,[90]
0,27,307963875522089445804147686058090428675,42.857142857142854,[89]
0,28,121551841186495553347755471411140833872,77.77777777777777,[80]
0,29,204569651842401182505720727322228600048,72.22222222222223,[82]
1,0,283231827285582689173898191744771428149,6.25,"[84, 92, 87, 84, 83, 80]"
1,1,42404058893002179862530488944618555026,8.695652173913043,"[75, 86, 87, 82, 89, 84]"
1,2,322147102394064482776311110116631431844,0.0,"[69, 65, 65, 72, 67, 63]"
1,3,35807962323765378973523641142598293707,8.0,"[85, 89, 83, 73, 87, 86]"
1,4,197950813684211370216556750399355295753,0.0,"[73, 83, 83, 79, 73, 83]"
1,5,156422832236318398030395569573789278666,4.761904761904762,"[93, 89, 88, 78, 85, 84]"
1,6,245741092407807278453753020320747549509,33.333333333333336,"[87, 87, 80, 83, 89, 86]"
1,7,152917778660307343985122151773064258702,0.0,"[78, 68, 73, 78, 82, 78]"
1,8,153123115689259463183419011596244409798,0.0,"[56, 52, 53, 54, 53, 44]"
1,9,21535318088239688288166928854316167198,10.526315789473685,"[78, 87, 88, 72, 93, 81]"
1,10,318596042067673524010980687884589986942,12.0,"[87, 86, 76, 90, 83, 82]"
1,11,64418853510233283877784937732776670825,16.666666666666668,"[86, 81, 80, 79, 75, 78]"
1,12,246972498007508150482788682948713789252,0.0,"[79, 73, 81, 79, 71, 77]"
1,13,237747952156427211084762743170225462634,19.047619047619047,"[83, 84, 81, 77, 75, 85]"
1,14,9254862009174978818551819938085845105,17.391304347826086,"[81, 88, 83, 87, 85, 84]"
1,15,160538143633571928938409931336246081692,4.3478260869565215,"[79, 86, 86, 77, 82, 82]"
1,16,59801250858875480633667142650937297148,10.0,"[80, 88, 85, 78, 84, 79]"
1,17,212639844624611506150916172105781971661,0.0,"[69, 74, 71, 75, 72, 71]"
1,18,320118045025260033572540617673788335045,9.090909090909092,"[80, 85, 85, 80, 82, 86]"
1,19,68428554646408477642077647784464602256,9.523809523809524,"[86, 86, 87, 86, 77, 78]"
1,20,9427378919808903606339465156667725552,10.526315789473685,"[72, 82, 84, 88, 88, 92]"
1,21,257816602327343209407748447147288702445,16.666666666666668,"[79, 89, 86, 84, 84, 82]"
1,22,321009274668049791405745665757862425396,20.0,"[71, 75, 83, 87, 83, 89]"
1,23,9910332057255723954371395635046767763,15.0,"[75, 76, 88, 83, 87, 77]"
1,24,165819884531850923621435467632172713677,17.647058823529413,"[90, 87, 76, 84, 83, 82]"
1,25,42685211482393197746853506063397495979,14.285714285714286,"[83, 82, 89, 78, 84, 80]"
